Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
BHB10_38_Bin_279	k__Archaea (UID2)	207	149	107	44	104	1	0	0	0	68.85	0.93	0.00
BHB10_38_Bin_301	k__Archaea (UID2)	207	149	107	60	86	3	0	0	0	59.51	2.34	0.00
BHB10_38_Bin_38	k__Archaea (UID2)	207	149	107	27	113	9	0	0	0	78.50	5.92	11.11
BHB10_38_Bin_74	k__Archaea (UID2)	207	149	107	22	122	3	2	0	0	84.20	5.14	0.00
BHB10_38_Bin_92_clean	k__Archaea (UID2)	207	149	107	36	108	4	1	0	0	71.89	5.14	14.29
Co_bin120	k__Archaea (UID2)	207	149	107	13	133	3	0	0	0	88.79	1.40	0.00
Co_bin147	k__Archaea (UID2)	207	149	107	42	97	8	2	0	0	69.64	8.18	21.43
Co_bin153	k__Archaea (UID2)	207	149	107	50	96	2	1	0	0	70.14	3.74	40.00
Co_bin157	k__Archaea (UID2)	207	149	107	61	73	14	1	0	0	54.92	7.39	82.35
Co_bin169	k__Archaea (UID2)	207	149	107	62	73	14	0	0	0	54.84	7.15	92.86
Co_bin177	k__Archaea (UID2)	207	149	107	48	91	9	1	0	0	61.06	5.68	41.67
Co_bin235	k__Archaea (UID2)	207	149	107	62	79	8	0	0	0	63.22	6.15	37.50
Co_bin241	k__Archaea (UID2)	207	149	107	61	79	7	2	0	0	54.54	6.15	30.77
Co_bin249	k__Archaea (UID2)	207	149	107	65	74	10	0	0	0	52.84	6.54	60.00
Co_bin263	k__Archaea (UID2)	207	149	107	30	114	3	2	0	0	75.78	5.45	55.56
Co_bin277	k__Archaea (UID2)	207	149	107	42	100	6	1	0	0	73.47	5.28	22.22
Co_bin41	k__Archaea (UID2)	207	149	107	7	132	10	0	0	0	94.39	7.94	0.00
Co_bin44	k__Archaea (UID2)	207	149	107	27	117	5	0	0	0	77.26	3.27	0.00
Co_bin69	k__Archaea (UID2)	207	149	107	21	125	3	0	0	0	85.30	1.40	100.00
Co_bin7	k__Archaea (UID2)	207	149	107	20	122	7	0	0	0	84.89	5.61	0.00
D4991_C11_H1_Bin_169	k__Archaea (UID2)	207	149	107	19	127	3	0	0	0	90.31	2.80	0.00
D4991_C11_H1_Bin_181	k__Archaea (UID2)	207	149	107	40	107	2	0	0	0	69.55	1.87	0.00
D4991_C11_H1_Bin_188	k__Archaea (UID2)	207	149	107	38	103	8	0	0	0	75.23	6.07	0.00
D4991_C11_H1_Bin_86	k__Archaea (UID2)	207	149	107	16	128	4	0	1	0	88.32	5.14	0.00
D4993_C5_H1_Bin_185	k__Archaea (UID2)	207	149	107	55	91	3	0	0	0	62.54	1.08	0.00
D4993_C5_H1_Bin_246	k__Archaea (UID2)	207	149	107	22	120	7	0	0	0	84.51	5.14	0.00
D4993_C5_H1_Bin_263	k__Archaea (UID2)	207	149	107	27	117	5	0	0	0	85.17	2.80	0.00
D4993_C5_H1_Bin_269	k__Archaea (UID2)	207	149	107	16	122	10	1	0	0	92.09	8.72	15.38
D4993_C5_H1_Bin_32_clean	k__Archaea (UID2)	207	149	107	34	113	1	1	0	0	76.17	1.40	25.00
D4993_C5_H1_Bin_406_clean	k__Archaea (UID2)	207	149	107	23	124	2	0	0	0	87.43	1.87	0.00
D4993_C5_H1_Bin_447	k__Archaea (UID2)	207	149	107	29	119	1	0	0	0	81.90	0.47	0.00
D4993_C5_H1_Bin_456	k__Archaea (UID2)	207	149	107	22	121	6	0	0	0	82.87	5.14	16.67
D4993_C5_H1_Bin_526	k__Archaea (UID2)	207	149	107	55	91	3	0	0	0	63.71	2.80	0.00
D4993_C5_H1_Bin_95	k__Archaea (UID2)	207	149	107	56	85	8	0	0	0	59.59	1.44	100.00
D4993_C5_H2_Bin_133_clean	k__Archaea (UID2)	207	149	107	22	122	5	0	0	0	82.64	4.21	20.00
D4993_C5_H2_Bin_260	k__Archaea (UID2)	207	149	107	22	122	5	0	0	0	81.93	4.21	0.00
D4993_C5_H2_Bin_290_clean	k__Archaea (UID2)	207	149	107	38	105	6	0	0	0	77.73	4.67	16.67
D4993_C5_H2_Bin_325	k__Archaea (UID2)	207	149	107	31	111	7	0	0	0	82.60	3.74	0.00
D4993_C5_H2_Bin_370	k__Archaea (UID2)	207	149	107	15	131	3	0	0	0	88.01	2.80	0.00
D4993_C5_H2_Bin_435	k__Archaea (UID2)	207	149	107	76	65	7	1	0	0	53.97	6.07	10.00
D4993_C5_H2_Bin_444	k__Archaea (UID2)	207	149	107	8	134	6	1	0	0	93.46	6.07	0.00
D4993_C5_H2_Bin_518	k__Archaea (UID2)	207	149	107	26	118	5	0	0	0	83.50	3.74	0.00
D4993_C5_H2_Bin_565	k__Archaea (UID2)	207	149	107	9	134	4	2	0	0	92.99	4.67	10.00
D4993_C5_H2_Bin_570	k__Archaea (UID2)	207	149	107	45	101	3	0	0	0	73.94	1.87	0.00
D4993_C5_H2_Bin_581	k__Archaea (UID2)	207	149	107	65	82	2	0	0	0	58.48	1.87	50.00
D4993_C5_H2_Bin_583	k__Archaea (UID2)	207	149	107	43	105	1	0	0	0	73.33	0.47	0.00
D4993_C5_H2_Bin_648	k__Archaea (UID2)	207	149	107	18	119	12	0	0	0	87.85	5.43	25.00
D4993_C5_H2_Bin_733	k__Archaea (UID2)	207	149	107	16	125	8	0	0	0	88.32	6.15	0.00
D4993_C5_H2_Bin_79	k__Archaea (UID2)	207	149	107	8	136	5	0	0	0	93.93	3.74	0.00
D4993_C5_H2_Bin_811	k__Archaea (UID2)	207	149	107	24	119	6	0	0	0	82.71	4.21	0.00
D4993_C5_H2_Bin_84_clean	k__Archaea (UID2)	207	149	107	41	107	0	1	0	0	70.80	1.87	33.33
D4993_C5_H3_Bin_186	k__Archaea (UID2)	207	149	107	74	71	4	0	0	0	57.76	3.27	50.00
D4993_C5_H3_Bin_323	k__Archaea (UID2)	207	149	107	53	93	3	0	0	0	60.75	2.34	0.00
D4993_C5_H3_Bin_368	k__Archaea (UID2)	207	149	107	9	135	5	0	0	0	92.99	3.74	0.00
D4993_C5_H3_Bin_385	p__Euryarchaeota (UID4)	45	299	202	169	124	6	0	0	0	46.50	2.48	0.00
D4993_C5_H3_Bin_400	k__Archaea (UID2)	207	149	107	11	135	1	2	0	0	92.06	2.34	0.00
D4993_C5_H3_Bin_450	k__Archaea (UID2)	207	149	107	34	103	11	1	0	0	72.90	5.18	7.14
D4993_C5_H3_Bin_468	k__Archaea (UID2)	207	149	107	11	133	5	0	0	0	91.74	3.74	0.00
D4993_C5_H3_Bin_486	k__Archaea (UID2)	207	149	107	28	121	0	0	0	0	89.02	0.00	0.00
D4993_C5_H3_Bin_497	k__Archaea (UID2)	207	149	107	20	119	10	0	0	0	87.38	4.49	20.00
D4993_C5_H3_Bin_515_clean	k__Archaea (UID2)	207	149	107	53	94	2	0	0	0	64.53	1.40	0.00
D4993_C5_H3_Bin_532	k__Archaea (UID2)	207	149	107	21	106	19	3	0	0	82.71	6.92	0.00
D4993_C5_H3_Bin_603_clean	k__Archaea (UID2)	207	149	107	22	115	10	2	0	0	86.32	8.80	50.00
D4993_C5_H3_Bin_613	k__Archaea (UID2)	207	149	107	32	110	7	0	0	0	82.14	3.74	0.00
D4993_C5_H3_Bin_680	k__Archaea (UID2)	207	149	107	12	129	8	0	0	0	91.45	4.98	0.00
D4993_C5_H3_Bin_765_clean	k__Archaea (UID2)	207	149	107	11	129	5	2	2	0	90.65	5.25	4.35
D4993_C5_H3_Bin_769	k__Archaea (UID2)	207	149	107	40	98	10	1	0	0	73.52	9.35	0.00
D4993_C5_H4_Bin_11	k__Archaea (UID2)	207	149	107	57	92	0	0	0	0	56.00	0.00	0.00
D4993_C5_H4_Bin_142_clean	k__Archaea (UID2)	207	149	107	38	109	2	0	0	0	73.29	1.87	0.00
D4993_C5_H4_Bin_224_clean	k__Archaea (UID2)	207	149	107	59	82	8	0	0	0	54.61	3.43	0.00
D4993_C5_H4_Bin_33	k__Archaea (UID2)	207	149	107	61	87	1	0	0	0	62.51	0.07	100.00
D4993_C5_H4_Bin_46	k__Archaea (UID2)	207	149	107	48	93	8	0	0	0	69.42	6.54	62.50
D4993_C5_H4_Bin_5	k__Archaea (UID2)	207	149	107	57	84	8	0	0	0	59.98	3.10	25.00
D4993_C5_LG_Bin_111	k__Archaea (UID2)	207	149	107	52	88	9	0	0	0	66.24	7.01	0.00
D4993_C5_LG_Bin_146_clean	k__Archaea (UID2)	207	149	107	76	62	10	1	0	0	50.65	8.88	76.92
D4993_C5_LG_Bin_231_clean	k__Archaea (UID2)	207	149	107	32	96	21	0	0	0	73.29	9.62	0.00
D4993_C5_LG_Bin_247	k__Archaea (UID2)	207	149	107	43	101	4	1	0	0	67.16	5.14	0.00
D4993_C5_LG_Bin_279	k__Archaea (UID2)	207	149	107	12	133	4	0	0	0	91.67	2.80	0.00
D4993_C5_LG_Bin_292	k__Archaea (UID2)	207	149	107	16	128	5	0	0	0	88.71	4.21	0.00
D4993_C5_LG_Bin_298	k__Archaea (UID2)	207	149	107	13	133	1	2	0	0	90.19	2.34	0.00
D4993_C5_LG_Bin_330	k__Archaea (UID2)	207	149	107	23	122	4	0	0	0	82.71	3.27	25.00
D4993_C5_LG_Bin_346	k__Archaea (UID2)	207	149	107	9	133	7	0	0	0	92.52	5.14	0.00
D4993_C5_LG_Bin_37	k__Archaea (UID2)	207	149	107	11	131	7	0	0	0	91.12	6.07	14.29
D4993_C5_LG_Bin_387_clean	k__Archaea (UID2)	207	149	107	35	113	1	0	0	0	75.16	0.93	0.00
D4993_C5_LG_Bin_413_clean	k__Archaea (UID2)	207	149	107	11	130	6	2	0	0	90.65	2.77	0.00
D4993_C5_LG_Bin_429	k__Archaea (UID2)	207	149	107	51	96	2	0	0	0	69.91	0.93	0.00
D4993_C5_LG_Bin_447	k__Archaea (UID2)	207	149	107	33	106	8	2	0	0	74.14	9.19	0.00
D4993_C5_LG_Bin_498	k__Archaea (UID2)	207	149	107	17	123	9	0	0	0	88.32	3.56	11.11
D4993_C5_LG_Bin_529	k__Archaea (UID2)	207	149	107	23	118	6	2	0	0	84.11	7.48	41.67
D4993_C5_LG_Bin_530	k__Archaea (UID2)	207	149	107	8	135	6	0	0	0	93.93	4.67	16.67
D4993_C5_LG_Bin_604	k__Archaea (UID2)	207	149	107	47	96	6	0	0	0	72.68	4.05	0.00
D4993_C5_LG_Bin_609	k__Archaea (UID2)	207	149	107	22	122	5	0	0	0	84.11	1.94	0.00
D4993_C5_LG_Bin_705_clean	k__Archaea (UID2)	207	149	107	28	114	6	0	1	0	78.04	6.85	33.33
D4993_C5_LG_Bin_732	k__Archaea (UID2)	207	149	107	47	100	2	0	0	0	72.11	1.87	0.00
D4993_C5_LG_Bin_739_clean	k__Archaea (UID2)	207	149	107	8	133	8	0	0	0	93.46	4.67	0.00
D4994_C39_H1_Bin_122	k__Archaea (UID2)	207	149	107	53	92	4	0	0	0	63.48	3.27	50.00
D4994_C39_H1_Bin_188	k__Archaea (UID2)	207	149	107	45	99	5	0	0	0	74.27	3.74	20.00
D4994_C39_H1_Bin_225	k__Archaea (UID2)	207	149	107	12	127	10	0	0	0	92.21	7.48	20.00
D4994_C39_H1_Bin_261	k__Archaea (UID2)	207	149	107	16	126	7	0	0	0	87.93	4.67	0.00
D4994_C39_H1_Bin_316	k__Archaea (UID2)	207	149	107	10	129	9	1	0	0	92.06	7.01	0.00
D4994_C39_H1_Bin_319	k__Archaea (UID2)	207	149	107	9	134	6	0	0	0	92.52	3.74	0.00
D4994_C39_H1_Bin_33	k__Archaea (UID2)	207	149	107	11	120	7	4	3	4	92.52	6.25	1.22
D4994_C39_H1_Bin_335	k__Archaea (UID2)	207	149	107	11	127	11	0	0	0	93.46	7.94	0.00
D4994_C39_H1_Bin_37	k__Archaea (UID2)	207	149	107	41	106	2	0	0	0	74.54	1.87	0.00
D4994_C39_H1_Bin_371	k__Archaea (UID2)	207	149	107	27	120	2	0	0	0	79.13	1.40	0.00
D4994_C39_H1_Bin_436	k__Archaea (UID2)	207	149	107	41	99	8	1	0	0	66.75	5.14	0.00
D4994_C39_H1_Bin_629	k__Archaea (UID2)	207	149	107	51	93	5	0	0	0	68.33	3.81	60.00
D4994_C39_H1_Bin_674	k__Archaea (UID2)	207	149	107	11	134	2	2	0	0	92.68	3.27	0.00
D4994_C39_H1_Bin_696_clean	k__Archaea (UID2)	207	149	107	15	126	8	0	0	0	88.32	6.07	0.00
D4994_C39_H1_Bin_733	k__Archaea (UID2)	207	149	107	24	121	4	0	0	0	79.91	2.34	0.00
D4994_C39_H1_Bin_797	k__Archaea (UID2)	207	149	107	72	70	7	0	0	0	56.69	3.74	0.00
D4994_C39_H1_Bin_803	k__Archaea (UID2)	207	149	107	40	106	3	0	0	0	68.69	2.34	33.33
D4994_C39_H2_Bin_166	k__Archaea (UID2)	207	149	107	38	108	3	0	0	0	75.97	2.34	33.33
D4994_C39_H2_Bin_21	k__Archaea (UID2)	207	149	107	38	103	8	0	0	0	74.84	6.07	37.50
D4994_C39_H2_Bin_222	k__Archaea (UID2)	207	149	107	50	94	5	0	0	0	70.56	3.74	20.00
D4994_C39_H2_Bin_3_clean	k__Archaea (UID2)	207	149	107	41	98	10	0	0	0	72.08	5.76	10.00
D4994_C39_H2_Bin_6_clean	k__Archaea (UID2)	207	149	107	63	67	19	0	0	0	51.09	9.15	5.26
D4998_C1112_H1_Bin_177	k__Archaea (UID2)	207	149	107	20	114	15	0	0	0	83.80	7.76	0.00
D4998_C1112_H1_Bin_241	k__Archaea (UID2)	207	149	107	13	116	19	1	0	0	88.79	7.87	4.55
D4998_C1112_H1_Bin_245	k__Archaea (UID2)	207	149	107	31	117	1	0	0	0	76.17	0.47	0.00
D4998_C1112_H1_Bin_25	k__Archaea (UID2)	207	149	107	51	91	7	0	0	0	63.48	3.02	0.00
D4998_C1112_H1_Bin_361	k__Archaea (UID2)	207	149	107	79	70	0	0	0	0	51.21	0.00	0.00
D4998_C1112_H1_Bin_369_clean	k__Archaea (UID2)	207	149	107	32	114	3	0	0	0	78.52	2.34	0.00
D4998_C1112_H1_Bin_443	k__Archaea (UID2)	207	149	107	18	126	5	0	0	0	85.51	3.74	0.00
D4998_C1112_H1_Bin_477	k__Archaea (UID2)	207	149	107	10	133	5	1	0	0	92.06	6.07	0.00
D4998_C1112_H1_Bin_488	k__Archaea (UID2)	207	149	107	50	99	0	0	0	0	59.74	0.00	0.00
D4998_C1112_H2_Bin_131_clean	k__Archaea (UID2)	207	149	107	56	83	8	2	0	0	65.42	7.94	0.00
D4998_C1112_H2_Bin_190_clean	k__Archaea (UID2)	207	149	107	35	113	1	0	0	0	78.86	0.93	0.00
D4998_C1112_H2_Bin_232	k__Archaea (UID2)	207	149	107	10	134	5	0	0	0	92.06	3.27	0.00
D4998_C1112_H2_Bin_233	k__Archaea (UID2)	207	149	107	20	124	5	0	0	0	85.51	3.74	0.00
D4998_C1112_H2_Bin_270	k__Archaea (UID2)	207	149	107	62	78	8	1	0	0	60.66	7.01	18.18
D4998_C1112_H2_Bin_413	k__Archaea (UID2)	207	149	107	32	112	5	0	0	0	77.65	2.80	0.00
D4998_C1112_H2_Bin_434	k__Archaea (UID2)	207	149	107	39	109	1	0	0	0	69.63	0.93	100.00
D4998_C1112_H2_Bin_445	k__Archaea (UID2)	207	149	107	18	127	4	0	0	0	84.58	2.80	0.00
D4998_C1112_H2_Bin_450	k__Archaea (UID2)	207	149	107	51	96	2	0	0	0	66.40	1.40	0.00
D4998_C1112_H2_Bin_516	k__Archaea (UID2)	207	149	107	12	132	4	1	0	0	89.72	2.41	28.57
D4998_C1112_H2_Bin_52	k__Archaea (UID2)	207	149	107	18	129	2	0	0	0	85.98	0.78	50.00
D4998_C1112_H2_Bin_592_clean	k__Archaea (UID2)	207	149	107	30	117	2	0	0	0	74.45	1.87	0.00
D4998_C1112_H2_Bin_601	k__Archaea (UID2)	207	149	107	13	129	6	1	0	0	89.72	7.01	0.00
D4998_C1112_H2_Bin_606_clean	k__Archaea (UID2)	207	149	107	12	131	6	0	0	0	91.74	4.67	16.67
D4998_C1112_H2_Bin_646	k__Archaea (UID2)	207	149	107	8	134	6	1	0	0	93.46	6.07	0.00
D4998_C1112_H2_Bin_74	k__Archaea (UID2)	207	149	107	54	91	4	0	0	0	62.15	2.41	25.00
D4998_C1112_H2_Bin_75	k__Archaea (UID2)	207	149	107	37	104	6	2	0	0	71.42	7.01	0.00
D4998_C1112_H3_Bin_205	k__Archaea (UID2)	207	149	107	15	124	10	0	0	0	87.54	6.07	0.00
D4998_C1112_H3_Bin_254	k__Archaea (UID2)	207	149	107	13	134	2	0	0	0	89.25	1.40	0.00
D4998_C1112_H3_Bin_265	k__Archaea (UID2)	207	149	107	29	119	1	0	0	0	79.22	0.47	0.00
D4998_C1112_H3_Bin_32_clean	k__Archaea (UID2)	207	149	107	5	138	5	1	0	0	95.79	4.67	0.00
D4998_C1112_H3_Bin_55_clean	k__Archaea (UID2)	207	149	107	17	127	5	0	0	0	90.76	3.12	20.00
D4998_C1112_H3_Bin_60	k__Archaea (UID2)	207	149	107	8	134	7	0	0	0	93.93	4.67	0.00
D4998_C1112_H3_Bin_96	k__Archaea (UID2)	207	149	107	13	132	2	2	0	0	89.25	2.88	12.50
D4998_C2223_H1_Bin_197_clean	k__Archaea (UID2)	207	149	107	35	108	6	0	0	0	74.69	4.28	16.67
D4998_C2223_H1_Bin_209	k__Archaea (UID2)	207	149	107	58	88	3	0	0	0	61.25	1.87	0.00
D4998_C2223_H2_Bin_129_clean	k__Archaea (UID2)	207	149	107	34	111	4	0	0	0	74.45	2.88	0.00
D4998_C2223_H2_Bin_162_clean	k__Archaea (UID2)	207	149	107	11	132	6	0	0	0	91.12	3.34	16.67
D4998_C2223_H2_Bin_199	k__Archaea (UID2)	207	149	107	47	100	2	0	0	0	64.10	0.93	0.00
D4998_C2223_H2_Bin_280	k__Archaea (UID2)	207	149	107	28	119	2	0	0	0	77.10	1.87	0.00
D4998_C2223_H2_Bin_321	k__Archaea (UID2)	207	149	107	68	79	1	1	0	0	55.08	1.87	25.00
D4998_C2223_H2_Bin_358	k__Archaea (UID2)	207	149	107	70	68	9	2	0	0	59.49	9.35	20.00
D4998_C2223_H2_Bin_384	k__Archaea (UID2)	207	149	107	65	81	3	0	0	0	54.79	1.87	0.00
E29_bin63	k__Archaea (UID2)	207	149	107	19	125	5	0	0	0	84.11	2.34	0.00
E44_bin6	k__Archaea (UID2)	207	149	107	51	94	4	0	0	0	61.21	2.41	25.00
E44_bin77	k__Archaea (UID2)	207	149	107	13	127	9	0	0	0	90.65	7.48	11.11
E44_bin85	k__Archaea (UID2)	207	149	107	31	115	3	0	0	0	75.70	2.80	33.33
FINAL_SR_VP_26_10_2019_2_100cm_Atabeya_2_FINAL	k__Archaea (UID2)	207	149	107	2	144	2	1	0	0	98.13	3.74	0.00
GBS02	k__Archaea (UID2)	207	149	107	22	118	9	0	0	0	85.06	4.91	44.44
GBS03	k__Archaea (UID2)	207	149	107	8	135	6	0	0	0	93.93	3.74	0.00
GBS04	k__Archaea (UID2)	207	149	107	14	129	6	0	0	0	89.25	3.74	0.00
GBS27	k__Archaea (UID2)	207	149	107	28	118	3	0	0	0	79.13	1.01	0.00
GCA_001940645_1_ASM194064v1	k__Archaea (UID2)	207	149	107	10	133	5	1	0	0	91.59	5.61	12.50
GCA_001940655_1_ASM194065v1	k__Archaea (UID2)	207	149	107	36	110	3	0	0	0	80.45	2.34	0.00
GCA_001940665_1_ASM194066v1	k__Archaea (UID2)	207	149	107	5	142	2	0	0	0	96.26	1.40	0.00
GCA_001940705_1_ASM194070v1	k__Archaea (UID2)	207	149	107	14	129	6	0	0	0	90.12	3.19	33.33
GCA_001940725_1_ASM194072v1	k__Archaea (UID2)	207	149	107	35	109	5	0	0	0	72.43	4.21	40.00
GCA_001940755_1_ASM194075v1	k__Archaea (UID2)	207	149	107	26	119	4	0	0	0	79.37	2.34	0.00
GCA_002728275_1_ASM272827v1	k__Archaea (UID2)	207	149	107	21	126	2	0	0	0	83.18	1.87	50.00
GCA_002825465_1_ASM282546v1	k__Archaea (UID2)	207	149	107	10	130	9	0	0	0	92.06	5.30	11.11
GCA_002825515_1_ASM282551v1	k__Archaea (UID2)	207	149	107	13	132	4	0	0	0	90.19	2.34	0.00
GCA_002825535_1_ASM282553v1	k__Archaea (UID2)	207	149	107	19	128	2	0	0	0	84.58	1.01	0.00
GCA_003144275_1_ASM314427v1	k__Archaea (UID2)	207	149	107	8	138	3	0	0	0	93.69	1.87	0.00
GCA_003662765_1_ASM366276v1	k__Archaea (UID2)	207	149	107	18	118	13	0	0	0	85.05	5.64	38.46
GCA_003662775_1_ASM366277v1	k__Archaea (UID2)	207	149	107	7	130	10	1	1	0	95.33	9.42	5.26
GCA_003662805_1_ASM366280v1	k__Archaea (UID2)	207	149	107	7	131	11	0	0	0	94.86	8.88	0.00
