user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
ABR04	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp029856125	GCA_029856125.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp029856125	100.0	1.0	GCA_029856125.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp029856125	100.0	1.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019894855.1, s__SOKP01 sp019894855, 95.0, 91.89, 0.7; GCA_004375715.1, s__SOKP01 sp004375715, 95.0, 88.99, 0.448; GCA_030599585.1, s__SOKP01 sp030599585, 95.0, 88.77, 0.531; GCA_030615235.1, s__SOKP01 sp030615235, 95.0, 88.08, 0.392; GCA_035530895.1, s__SOKP01 sp035530895, 95.0, 87.28, 0.395; GCA_019894885.1, s__SOKP01 sp019894885, 95.0, 86.67, 0.362	86.13	11	N/A	N/A
ABR05	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__Loki-b32;s__Loki-b32 sp029856145	GCA_029856145.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__Loki-b32;s__Loki-b32 sp029856145	100.0	1.0	GCA_029856145.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__Loki-b32;s__Loki-b32 sp029856145	100.0	1.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__Loki-b32;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	84.36	11	N/A	N/A
ABR06	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__Loki-b32;s__Loki-b32 sp029856155	GCA_029856155.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__Loki-b32;s__Loki-b32 sp029856155	100.0	1.0	GCA_029856155.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__Loki-b32;s__Loki-b32 sp029856155	100.0	1.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__Loki-b32;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019058365.1, s__Loki-b32 sp019058365, 95.0, 89.27, 0.531	87.46	11	N/A	N/A
ABR08	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_016839745.1, s__SOKP01 sp016839745, 95.0, 83.26, 0.17	70.23	11	0.97387	N/A
ABR09	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SMTZ1-45;s__SMTZ1-45 sp001940705	GCA_001940705.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SMTZ1-45;s__SMTZ1-45 sp001940705	98.88	0.914	GCA_001940705.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SMTZ1-45;s__SMTZ1-45 sp001940705	98.88	0.914	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SMTZ1-45;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	54.56	11	N/A	N/A
ABR10	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	53.68	11	0.85002	N/A
ABR11	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp029856235	GCA_029856235.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp029856235	100.0	0.999	GCA_029856235.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp029856235	100.0	0.999	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_013375475.1, s__SOKP01 sp013375475, 95.0, 93.0, 0.565; GCA_016839745.1, s__SOKP01 sp016839745, 95.0, 85.11, 0.275	73.95	11	N/A	N/A
ABR13	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	N/A	N/A	N/A	N/A	N/A	GCA_029856235.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp029856235	87.86	0.392	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_013375475.1, s__SOKP01 sp013375475, 95.0, 87.4, 0.412; GCA_016839745.1, s__SOKP01 sp016839745, 95.0, 83.47, 0.192	72.23	11	0.99511	N/A
ABR14	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	N/A	N/A	N/A	N/A	N/A	GCA_019058165.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp019058165	94.25	0.632	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_030671945.1, s__JABLTI01 sp030671945, 95.0, 90.89, 0.452; GCA_013166835.1, s__JABLTI01 sp013166835, 95.0, 90.65, 0.551; GCA_030629105.1, s__JABLTI01 sp030629105, 95.0, 90.11, 0.484	57.31	11	0.99123	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
ABR15	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__LW40-45;s__LW40-45 sp029856295	GCA_029856295.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__LW40-45;s__LW40-45 sp029856295	100.0	0.999	GCA_029856295.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__LW40-45;s__LW40-45 sp029856295	100.0	0.999	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__LW40-45;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	69.77	11	N/A	N/A
ABR16	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp001940755	GCA_001940755.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp001940755	99.85	0.977	GCA_001940755.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp001940755	99.85	0.977	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_016840095.1, s__UBA460 sp016840095, 95.0, 83.8, 0.221	95.04	11	N/A	N/A
AB_1215_Bin_10	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	N/A	N/A	N/A	N/A	N/A	GCA_030667035.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp030667035	94.61	0.604	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_030614005.1, s__JABLTI01 sp030614005, 95.0, 87.43, 0.333; GCA_018238155.1, s__JABLTI01 sp018238155, 95.0, 86.28, 0.254	64.75	11	0.9901	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
AB_1215_Bin_101	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp030629105	GCA_030629105.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp030629105	97.37	0.721	GCA_030629105.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp030629105	97.37	0.721	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_030671945.1, s__JABLTI01 sp030671945, 95.0, 90.99, 0.478; GCA_013166835.1, s__JABLTI01 sp013166835, 95.0, 90.58, 0.523; GCA_019058165.1, s__JABLTI01 sp019058165, 95.0, 90.34, 0.499	68.49	11	N/A	N/A
AB_1215_Bin_128	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__	N/A	N/A	N/A	N/A	N/A	GCA_030611665.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp030611665	90.93	0.605	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__	taxonomic classification defined by topology and ANI	N/A	GCA_023705945.1, s__UBA460 sp023705945, 95.0, 89.1, 0.498; GCA_018238545.1, s__UBA460 sp018238545, 95.0, 88.36, 0.533; GCA_030668875.1, s__UBA460 sp030668875, 95.0, 87.4, 0.444; GCA_023705905.1, s__UBA460 sp023705905, 95.0, 86.11, 0.34	91.07	11	0.9856	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
AB_1215_Bin_151	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Hodarchaeales;f__Hodarchaeaceae;g__Hodarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Hodarchaeales;f__Hodarchaeaceae;g__Hodarchaeum;s__	taxonomic classification fully defined by topology	N/A	N/A	62.59	11	0.9426	N/A
AB_1215_Bin_22	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__LW40-45;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__;s__	taxonomic novelty determined using RED	N/A	N/A	56.78	11	0.92025	N/A
AB_1215_Bin_32	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp023139025	GCA_023139025.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp023139025	97.62	0.717	GCA_023139025.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp023139025	97.62	0.717	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_030608385.1, s__UBA460 sp030608385, 95.0, 94.25, 0.681; GCA_021399345.1, s__UBA460 sp021399345, 95.0, 93.6, 0.662; GCA_030668825.1, s__UBA460 sp023132955, 95.0, 92.0, 0.59; GCA_030607575.1, s__UBA460 sp030607575, 95.0, 91.57, 0.645; GCA_019057375.1, s__UBA460 sp002505645, 95.0, 91.42, 0.623	86.67	11	N/A	N/A
AB_1215_Bin_94	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	taxonomic classification fully defined by topology	N/A	N/A	57.02	11	0.91833	N/A
AB_69_Bin_121	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Prometheoarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Prometheoarchaeum;s__	taxonomic classification fully defined by topology	N/A	N/A	47.77	11	0.97723	N/A
AB_69_Bin_161	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification fully defined by topology	N/A	N/A	36.03	11	0.98741	N/A
AB_69_Bin_233	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_029856125.1, s__SOKP01 sp029856125, 95.0, 90.82, 0.443; GCA_004375715.1, s__SOKP01 sp004375715, 95.0, 90.72, 0.325; GCA_030599585.1, s__SOKP01 sp030599585, 95.0, 90.58, 0.48; GCA_019894855.1, s__SOKP01 sp019894855, 95.0, 90.58, 0.352; GCA_030615235.1, s__SOKP01 sp030615235, 95.0, 89.87, 0.211; GCA_035530895.1, s__SOKP01 sp035530895, 95.0, 89.55, 0.226; GCA_019894885.1, s__SOKP01 sp019894885, 95.0, 89.21, 0.228	61.16	11	0.98933	N/A
AB_69_Bin_241	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Harpocratesius;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Harpocratesius;s__	taxonomic classification fully defined by topology	N/A	N/A	83.43	11	0.97981	N/A
AB_69_Bin_244	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__	N/A	N/A	N/A	N/A	N/A	GCA_030611665.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp030611665	92.75	0.362	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__	taxonomic classification defined by topology and ANI	N/A	GCA_023705945.1, s__UBA460 sp023705945, 95.0, 91.1, 0.278; GCA_018238545.1, s__UBA460 sp018238545, 95.0, 89.67, 0.263; GCA_030668875.1, s__UBA460 sp030668875, 95.0, 89.67, 0.231; GCA_023705905.1, s__UBA460 sp023705905, 95.0, 88.98, 0.177	58.83	11	0.98541	N/A
AB_69_Bin_72	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification fully defined by topology	N/A	N/A	41.23	11	0.97445	N/A
AB_69_Bin_81	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	N/A	N/A	N/A	N/A	N/A	GCA_030599585.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp030599585	91.19	0.636	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_004375715.1, s__SOKP01 sp004375715, 95.0, 90.5, 0.438; GCA_029856125.1, s__SOKP01 sp029856125, 95.0, 88.34, 0.458; GCA_019894855.1, s__SOKP01 sp019894855, 95.0, 87.8, 0.405; GCA_030615235.1, s__SOKP01 sp030615235, 95.0, 86.92, 0.252; GCA_035530895.1, s__SOKP01 sp035530895, 95.0, 85.9, 0.255; GCA_019894885.1, s__SOKP01 sp019894885, 95.0, 85.63, 0.256	63.52	11	0.9941	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
B11_G17	d__Archaea;p__Asgardarchaeota;c__Njordarchaeia;o__Njordarchaeales;f__Njordarchaeaceae;g__JAHKLG01;s__JAHKLG01 sp029856625	GCA_029856625.1	95.0	d__Archaea;p__Asgardarchaeota;c__Njordarchaeia;o__Njordarchaeales;f__Njordarchaeaceae;g__JAHKLG01;s__JAHKLG01 sp029856625	99.36	0.824	GCA_029856625.1	95.0	d__Archaea;p__Asgardarchaeota;c__Njordarchaeia;o__Njordarchaeales;f__Njordarchaeaceae;g__JAHKLG01;s__JAHKLG01 sp029856625	99.36	0.824	d__Archaea;p__Asgardarchaeota;c__Njordarchaeia;o__Njordarchaeales;f__Njordarchaeaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	81.67	11	N/A	N/A
