MAG	K00459	PF03060
Heimdallarchaeia_AB_1215_Bin_10	0	0
Heimdallarchaeia_AB_1215_Bin_101	0	0
Heimdallarchaeia_AB_1215_Bin_128	0	1
Heimdallarchaeia_AB_1215_Bin_151	1	1
Heimdallarchaeia_AB_1215_Bin_32	0	1
Heimdallarchaeia_AB_1215_Bin_94	0	1
Heimdallarchaeia_AB_69_Bin_244	0	0
Heimdallarchaeia_BHB10_26_Bin_322	1	1
Heimdallarchaeia_BHB10_2_Bin_344	0	1
Heimdallarchaeia_BHB10_38_Bin_224	1	1
Heimdallarchaeia_BHB10_38_Bin_301	0	1
Heimdallarchaeia_Co_bin120	0	1
Heimdallarchaeia_Co_bin277	0	1
Heimdallarchaeia_Co_bin41	0	0
Heimdallarchaeia_D4991_C11_H1_Bin_188	0	1
Heimdallarchaeia_D4993_C5_H1_Bin_246	0	1
Heimdallarchaeia_D4993_C5_H1_Bin_447	0	1
Heimdallarchaeia_D4993_C5_H2_Bin_444	0	1
Heimdallarchaeia_D4993_C5_H2_Bin_570	0	0
Heimdallarchaeia_D4993_C5_H2_Bin_581	0	1
Heimdallarchaeia_D4993_C5_H2_Bin_811	0	0
Heimdallarchaeia_D4993_C5_H3_Bin_323	0	0
Heimdallarchaeia_D4993_C5_H3_Bin_385	0	1
Heimdallarchaeia_D4993_C5_H3_Bin_450	0	1
Heimdallarchaeia_D4993_C5_H3_Bin_532	0	0
Heimdallarchaeia_D4993_C5_H3_Bin_680	0	1
Heimdallarchaeia_D4993_C5_H3_Bin_765_clean	0	1
Heimdallarchaeia_D4993_C5_H4_Bin_142_clean	0	1
Heimdallarchaeia_D4993_C5_H4_Bin_224_clean	0	1
Heimdallarchaeia_D4993_C5_LG_Bin_111	0	0
Heimdallarchaeia_D4993_C5_LG_Bin_346	0	1
Heimdallarchaeia_D4993_C5_LG_Bin_37	0	1
Heimdallarchaeia_D4993_C5_LG_Bin_413_clean	0	1
Heimdallarchaeia_D4993_C5_LG_Bin_739_clean	0	1
Heimdallarchaeia_D4994_C39_H1_Bin_316	0	1
Heimdallarchaeia_D4994_C39_H1_Bin_436	0	0
Heimdallarchaeia_D4994_C39_H1_Bin_696_clean	0	1
Heimdallarchaeia_D4994_C39_H2_Bin_6_clean	0	0
Heimdallarchaeia_D4998_C1112_H1_Bin_241	0	1
Heimdallarchaeia_D4998_C1112_H1_Bin_477	0	1
Heimdallarchaeia_D4998_C1112_H1_Bin_488	0	0
Heimdallarchaeia_D4998_C1112_H2_Bin_270	0	1
Heimdallarchaeia_D4998_C1112_H2_Bin_601	0	1
Heimdallarchaeia_D4998_C1112_H2_Bin_646	0	1
Heimdallarchaeia_D4998_C2223_H2_Bin_162_clean	0	0
Heimdallarchaeia_D4998_C2223_H2_Bin_321	0	0
Heimdallarchaeia_GCA_001940645_1_ASM194064v1	0	1
Heimdallarchaeia_GCA_001940725_1_ASM194072v1	0	0
Heimdallarchaeia_GCA_001940755_1_ASM194075v1	0	1
Heimdallarchaeia_GCA_002728275_1_ASM272827v1	0	0
Heimdallarchaeia_GCA_003144275_1_ASM314427v1	0	0
Heimdallarchaeia_GCA_003662875_1_ASM366287v1	0	1
Heimdallarchaeia_GCA_003662885_1_ASM366288v1	0	1
Heimdallarchaeia_GCA_003662935_1_ASM366293v1	0	1
Heimdallarchaeia_GCA_003696825_1_ASM369682v1	0	1
Heimdallarchaeia_GCA_004376455_1_ASM437645v1	0	0
Heimdallarchaeia_GCA_004376735_1_ASM437673v1	0	1
Heimdallarchaeia_GCA_010028315_1_ASM1002831v1	0	1
Heimdallarchaeia_GCA_010028525_1_ASM1002852v1	0	1
Heimdallarchaeia_GCA_010030355_1_ASM1003035v1	0	0
Heimdallarchaeia_GCA_011364945_1_ASM1136494v1	0	0
Heimdallarchaeia_GCA_011364965_1_ASM1136496v1	0	0
Heimdallarchaeia_GCA_011366225_1_ASM1136622v1	0	1
Heimdallarchaeia_GCA_011366245_1_ASM1136624v1	0	1
Heimdallarchaeia_GCA_011366285_1_ASM1136628v1	1	1
Heimdallarchaeia_GCA_011366295_1_ASM1136629v1	0	1
Heimdallarchaeia_GCA_011525205_1_ASM1152520v1	0	0
Heimdallarchaeia_GCA_013166775_1_ASM1316677v1	0	1
Heimdallarchaeia_GCA_013166835_1_ASM1316683v1	0	1
Heimdallarchaeia_GCA_015520535_1_ASM1552053v1	0	0
Heimdallarchaeia_GCA_015522385_1_ASM1552238v1	0	1
Heimdallarchaeia_GCA_015523565_1_ASM1552356v1	0	0
Heimdallarchaeia_GCA_016649575_1_ASM1664957v1	0	0
Heimdallarchaeia_GCA_016839295_1_ASM1683929v1	0	0
Heimdallarchaeia_GCA_016839405_1_ASM1683940v1	0	1
Heimdallarchaeia_GCA_016839505_1_ASM1683950v1	1	1
Heimdallarchaeia_GCA_016839515_1_ASM1683951v1	1	1
Heimdallarchaeia_GCA_016839545_1_ASM1683954v1	0	1
Heimdallarchaeia_GCA_016839625_1_ASM1683962v1	1	1
Heimdallarchaeia_GCA_016839665_1_ASM1683966v1	1	1
Heimdallarchaeia_GCA_016839785_1_ASM1683978v1	1	1
Heimdallarchaeia_GCA_016839815_1_ASM1683981v1	1	1
Heimdallarchaeia_GCA_016839875_1_ASM1683987v1	0	1
Heimdallarchaeia_GCA_016839945_1_ASM1683994v1	0	1
Heimdallarchaeia_GCA_016839955_1_ASM1683995v1	0	0
Heimdallarchaeia_GCA_016839985_1_ASM1683998v1	0	0
Heimdallarchaeia_GCA_016840025_1_ASM1684002v1	1	1
Heimdallarchaeia_GCA_016840035_1_ASM1684003v1	0	0
Heimdallarchaeia_GCA_016840095_1_ASM1684009v1	0	1
Heimdallarchaeia_GCA_016840265_1_ASM1684026v1	0	1
Heimdallarchaeia_GCA_016840285_1_ASM1684028v1	1	1
Heimdallarchaeia_GCA_016840305_1_ASM1684030v1	0	0
Heimdallarchaeia_GCA_016840905_1_ASM1684090v1	0	1
Heimdallarchaeia_GCA_016840945_1_ASM1684094v1	0	1
Heimdallarchaeia_GCA_016927615_1_ASM1692761v1	0	1
Heimdallarchaeia_GCA_018238085_1_ASM1823808v1	0	1
Heimdallarchaeia_GCA_018238095_1_ASM1823809v1	0	1
Heimdallarchaeia_GCA_018238125_1_ASM1823812v1	0	1
Heimdallarchaeia_GCA_018238155_1_ASM1823815v1	0	0
Heimdallarchaeia_GCA_018238245_1_ASM1823824v1	0	1
Heimdallarchaeia_GCA_018238545_1_ASM1823854v1	0	1
Heimdallarchaeia_GCA_018238585_1_ASM1823858v1	0	1
Heimdallarchaeia_GCA_018238645_1_ASM1823864v1	0	1
Heimdallarchaeia_GCA_018238805_1_ASM1823880v1	0	1
Heimdallarchaeia_GCA_018238885_1_ASM1823888v1	0	1
Heimdallarchaeia_GCA_018623815_1_ASM1862381v1	0	0
Heimdallarchaeia_GCA_019057815_1_ASM1905781v1	0	1
Heimdallarchaeia_GCA_019058165_1_ASM1905816v1	0	1
Heimdallarchaeia_GCA_019058195_1_ASM1905819v1	0	1
Heimdallarchaeia_GCA_019058275_1_ASM1905827v1	0	1
Heimdallarchaeia_GCA_019894765_1_ASM1989476v1	0	0
Heimdallarchaeia_GCA_019894795_1_ASM1989479v1	0	1
Heimdallarchaeia_GCA_020348965_1_ASM2034896v1	1	1
Heimdallarchaeia_GCA_020351745_1_ASM2035174v1	1	1
Heimdallarchaeia_GCA_020353515_1_ASM2035351v1	1	1
Heimdallarchaeia_GCA_021498085_1_ASM2149808v1	0	1
Heimdallarchaeia_GCA_021513695_1_ASM2151369v1	0	1
Heimdallarchaeia_GCA_021513715_1_ASM2151371v1	0	0
Heimdallarchaeia_GCA_022574115_1_ASM2257411v1	0	0
Heimdallarchaeia_GCA_023128215_1_ASM2312821v1	0	1
Heimdallarchaeia_GCA_023128635_1_ASM2312863v1	0	0
Heimdallarchaeia_GCA_023132955_1_ASM2313295v1	0	1
Heimdallarchaeia_GCA_023134625_1_ASM2313462v1	0	0
Heimdallarchaeia_GCA_023134855_1_ASM2313485v1	0	1
Heimdallarchaeia_GCA_023135215_1_ASM2313521v1	0	1
Heimdallarchaeia_GCA_023135665_1_ASM2313566v1	0	1
Heimdallarchaeia_GCA_023136245_1_ASM2313624v1	0	1
Heimdallarchaeia_GCA_023136515_1_ASM2313651v1	0	1
Heimdallarchaeia_GCA_023137035_1_ASM2313703v1	0	1
Heimdallarchaeia_GCA_023137225_1_ASM2313722v1	0	1
Heimdallarchaeia_GCA_023139025_1_ASM2313902v1	0	1
Heimdallarchaeia_GCA_023139085_1_ASM2313908v1	0	0
Heimdallarchaeia_GCA_023139145_1_ASM2313914v1	0	0
Heimdallarchaeia_GCA_023139415_1_ASM2313941v1	0	1
Heimdallarchaeia_GCA_023140315_1_ASM2314031v1	0	0
Heimdallarchaeia_GCA_023140335_1_ASM2314033v1	0	1
Heimdallarchaeia_GCA_023142255_1_ASM2314225v1	0	0
Heimdallarchaeia_GCA_023270155_1_ASM2327015v1	0	1
Heimdallarchaeia_GCA_024276395_1_ASM2427639v1	0	1
Heimdallarchaeia_GCA_024276795_1_ASM2427679v1	0	1
Heimdallarchaeia_GCA_024278115_1_ASM2427811v1	0	1
Heimdallarchaeia_GCA_024280435_1_ASM2428043v1	0	1
Heimdallarchaeia_M3_30_Bin_130	1	1
Heimdallarchaeia_M3_30_Bin_143	0	0
Heimdallarchaeia_M3_30_Bin_165	0	0
Heimdallarchaeia_M3_30_Bin_210	1	1
Heimdallarchaeia_M3_30_Bin_276	0	0
Heimdallarchaeia_M3_30_Bin_336	0	1
Heimdallarchaeia_M3_30_Bin_353	1	1
Heimdallarchaeia_M3_30_Bin_364	1	1
Heimdallarchaeia_M3_30_Bin_42	1	1
Heimdallarchaeia_M3_38_Bin_135_clean	0	1
Heimdallarchaeia_M3_38_Bin_173_clean	0	0
Heimdallarchaeia_M3_38_Bin_18	1	1
Heimdallarchaeia_M3_38_Bin_22	1	1
Heimdallarchaeia_M3_38_Bin_235	0	1
Heimdallarchaeia_M3_38_Bin_300	0	0
Heimdallarchaeia_M3_38_Bin_305	0	0
Heimdallarchaeia_M3_38_Bin_361	1	1
Heimdallarchaeia_M3_38_Bin_366_clean	1	1
Heimdallarchaeia_M3_38_Bin_386_clean	1	1
Heimdallarchaeia_M3_38_Bin_438	1	1
Heimdallarchaeia_M3_38_Bin_452	1	1
Heimdallarchaeia_M3_38_Bin_455_clean	1	1
Heimdallarchaeia_M3_38_Bin_77	1	1
Heimdallarchaeia_M3_44_Bin_131	0	1
Heimdallarchaeia_M3_44_Bin_347	1	1
Heimdallarchaeia_M3_44_Bin_376	0	0
Heimdallarchaeia_M3_44_Bin_378	0	0
Heimdallarchaeia_M8_44_Bin_190	0	0
Heimdallarchaeia_M8_44_Bin_231	1	1
Heimdallarchaeia_M8_58_Bin_151_clean	1	1
Heimdallarchaeia_M8_58_Bin_169	0	0
Heimdallarchaeia_M8_58_Bin_182_clean	0	0
Heimdallarchaeia_M8_58_Bin_191_clean	0	0
Heimdallarchaeia_M8_58_Bin_297_clean	0	1
Heimdallarchaeia_M8_58_Bin_407	1	1
Heimdallarchaeia_M8_58_Bin_408	1	1
Heimdallarchaeia_M8_58_Bin_497	1	1
Heimdallarchaeia_M8_58_Bin_52	0	0
Heimdallarchaeia_M8_62_Bin_119_clean	1	1
Heimdallarchaeia_M8_62_Bin_12	1	1
Heimdallarchaeia_M8_62_Bin_212	0	0
Heimdallarchaeia_M8_62_Bin_225	0	1
Heimdallarchaeia_M8_62_Bin_241	0	0
Heimdallarchaeia_M8_62_Bin_275	1	1
Heimdallarchaeia_M8_62_Bin_362	1	1
Heimdallarchaeia_M8_62_Bin_83	1	1
Heimdallarchaeia_Meg19_1012_Bin_206	0	0
Heimdallarchaeia_Meg19_1012_Bin_225	0	0
Heimdallarchaeia_Meg19_1012_Bin_246	0	1
Heimdallarchaeia_Meg19_1012_Bin_417	0	1
Heimdallarchaeia_Meg19_1012_Bin_444	1	1
Heimdallarchaeia_Meg19_1012_Bin_489	0	1
Heimdallarchaeia_Meg22_02_Bin_168	0	1
Heimdallarchaeia_Meg22_02_Bin_50	0	0
Heimdallarchaeia_Meg22_1012_Bin_118	0	1
Heimdallarchaeia_Meg22_1012_Bin_230	0	1
Heimdallarchaeia_Meg22_1012_Bin_332	0	1
Heimdallarchaeia_Meg22_1012_Bin_344	0	1
Heimdallarchaeia_Meg22_1012_Bin_78	0	1
Heimdallarchaeia_Meg22_1012_Bin_83	0	1
Heimdallarchaeia_Meg22_1214_Bin_158	0	1
Heimdallarchaeia_Meg22_1214_Bin_179	0	1
Heimdallarchaeia_Meg22_1214_Bin_186	0	1
Heimdallarchaeia_Meg22_1214_Bin_23	0	1
Heimdallarchaeia_Meg22_1214_Bin_318	0	1
Heimdallarchaeia_Meg22_1214_Bin_408	0	1
Heimdallarchaeia_Meg22_1214_Bin_97	0	0
Heimdallarchaeia_Meg22_1416_Bin_16	0	1
Heimdallarchaeia_Meg22_1416_Bin_36	0	1
Heimdallarchaeia_Meg22_1416_Bin_92_2_1	0	0
Heimdallarchaeia_Meg22_1618_Bin_30	0	1
Heimdallarchaeia_Meg22_1618_Bin_62	0	1
Heimdallarchaeia_Meg22_1618_Bin_74	0	0
Heimdallarchaeia_Meg22_24_Bin_100	0	1
Heimdallarchaeia_Meg22_24_Bin_104	0	0
Heimdallarchaeia_Meg22_24_Bin_167	0	0
Heimdallarchaeia_Meg22_24_Bin_77	0	1
Heimdallarchaeia_Meg22_46_Bin_151	0	1
Heimdallarchaeia_Meg22_46_Bin_152	0	0
Heimdallarchaeia_Meg22_46_Bin_158	0	1
Heimdallarchaeia_Meg22_46_Bin_212	0	1
Heimdallarchaeia_Meg22_46_Bin_234	0	1
Heimdallarchaeia_Meg22_46_Bin_83	0	0
Heimdallarchaeia_Meg22_46_Bin_92	0	1
Heimdallarchaeia_Meg22_810_Bin_115	0	0
Heimdallarchaeia_Meg22_810_Bin_213	1	1
Heimdallarchaeia_Meg22_810_Bin_25	0	1
Heimdallarchaeia_Meg22_810_Bin_9	0	1
Heimdallarchaeia_S2_bin51	0	1
Heimdallarchaeia_SHR11	0	1
Heimdallarchaeia_WORE3	1	1
Heimdallarchaeia_ex4484_83	0	1
Hermodarchaeia_BHB10_26_Bin_38	0	1
Hermodarchaeia_BHB10_38_Bin_151	0	0
Hermodarchaeia_BHB10_38_Bin_92_clean	1	1
Hermodarchaeia_D4993_C5_H2_Bin_583	0	0
Hermodarchaeia_GCA_016550385_1_ASM1655038v1	1	1
Hermodarchaeia_GCA_016550395_1_ASM1655039v1	1	1
Hermodarchaeia_GCA_016550405_1_ASM1655040v1	1	1
Hermodarchaeia_GCA_016550415_1_ASM1655041v1	1	1
Hermodarchaeia_GCA_016550425_1_ASM1655042v1	1	1
Hermodarchaeia_GCA_016550485_1_ASM1655048v1	1	1
Hermodarchaeia_GCA_016550495_1_ASM1655049v1	1	1
Hermodarchaeia_GCA_016550505_1_ASM1655050v1	0	1
Hermodarchaeia_GCA_016839365_1_ASM1683936v1	1	1
Hermodarchaeia_GCA_016839805_1_ASM1683980v1	1	1
Hermodarchaeia_GCA_016839995_1_ASM1683999v1	1	1
Hermodarchaeia_GCA_016840065_1_ASM1684006v1	1	1
Hermodarchaeia_GCA_016840135_1_ASM1684013v1	1	1
Hermodarchaeia_GCA_016840185_1_ASM1684018v1	1	1
Hermodarchaeia_GCA_016840405_1_ASM1684040v1	1	1
Hermodarchaeia_GCA_016840585_1_ASM1684058v1	1	1
Hermodarchaeia_GCA_016840595_1_ASM1684059v1	1	1
Hermodarchaeia_GCA_016840765_1_ASM1684076v1	1	1
Hermodarchaeia_WORB2	1	1
Jordiarchaeia_B36_G16	1	1
Jordiarchaeia_B4_G2	1	1
Jordiarchaeia_B7_G1	1	1
Jordiarchaeia_D4994_C39_H2_Bin_3_clean	1	1
Jordiarchaeia_D4998_C1112_H1_Bin_361	1	1
Jordiarchaeia_D4998_C1112_H2_Bin_75	0	1
Jordiarchaeia_D4998_C1112_H3_Bin_32_clean	1	1
Jordiarchaeia_D4998_C1112_H3_Bin_55_clean	1	1
Jordiarchaeia_D4998_C2223_H2_Bin_199	1	1
Jordiarchaeia_JZ_bin_50	1	1
Jordiarchaeia_Meg22_1012_Bin_95	1	1
Jordiarchaeia_Meg22_1214_Bin_132	1	1
Jordiarchaeia_Meg22_1416_Bin_21_NC	1	1
Jordiarchaeia_Meg22_1618_Bin_136	1	1
Jordiarchaeia_QC4_bin_49	1	1
Jordiarchaeia_QZM_A2_3_bin_3	1	1
Jordiarchaeia_QZM_A2_bin_5	1	1
Jordiarchaeia_QZM_A3_bin_5	1	1
Jordiarchaeia_RPD1	0	0
Jordiarchaeia_RPF2	1	1
Jordiarchaeia_SRVP_Freyarchaeota_final_genome	1	1
Lokiarchaeia_ABR01	1	1
Lokiarchaeia_ABR02	1	1
Lokiarchaeia_ABR03	1	1
Lokiarchaeia_ABR04	1	1
Lokiarchaeia_ABR05	1	1
Lokiarchaeia_ABR06	1	1
Lokiarchaeia_ABR08	1	1
Lokiarchaeia_ABR11	1	1
Lokiarchaeia_ABR13	1	1
Lokiarchaeia_ABR15	1	1
Lokiarchaeia_AB_1215_Bin_22	1	1
Lokiarchaeia_AB_69_Bin_121	0	0
Lokiarchaeia_AB_69_Bin_161	1	1
Lokiarchaeia_AB_69_Bin_233	1	1
Lokiarchaeia_AB_69_Bin_241	0	0
Lokiarchaeia_AB_69_Bin_72	1	1
Lokiarchaeia_AB_69_Bin_81	1	1
Lokiarchaeia_BHB10_26_Bin_277_clean	1	1
Lokiarchaeia_BHB10_38_Bin_122	1	1
Lokiarchaeia_BHB10_38_Bin_270	1	1
Lokiarchaeia_BHB10_38_Bin_38	1	1
Lokiarchaeia_Co_bin147	1	1
Lokiarchaeia_Co_bin153	1	1
Lokiarchaeia_Co_bin169	1	1
Lokiarchaeia_Co_bin177	1	1
Lokiarchaeia_Co_bin235	1	1
Lokiarchaeia_Co_bin241	1	1
Lokiarchaeia_Co_bin249	1	1
Lokiarchaeia_Co_bin263	0	0
Lokiarchaeia_Co_bin44	1	1
Lokiarchaeia_Co_bin7	0	0
Lokiarchaeia_D4991_C11_H1_Bin_169	0	1
Lokiarchaeia_D4991_C11_H1_Bin_86	0	1
Lokiarchaeia_D4993_C5_H1_Bin_263	1	1
Lokiarchaeia_D4993_C5_H1_Bin_406_clean	0	1
Lokiarchaeia_D4993_C5_H1_Bin_456	1	1
Lokiarchaeia_D4993_C5_H1_Bin_526	0	0
Lokiarchaeia_D4993_C5_H2_Bin_260	1	1
Lokiarchaeia_D4993_C5_H2_Bin_290_clean	1	1
Lokiarchaeia_D4993_C5_H2_Bin_325	1	1
Lokiarchaeia_D4993_C5_H2_Bin_370	0	1
Lokiarchaeia_D4993_C5_H2_Bin_565	1	1
Lokiarchaeia_D4993_C5_H2_Bin_648	0	0
Lokiarchaeia_D4993_C5_H2_Bin_733	0	1
Lokiarchaeia_D4993_C5_H3_Bin_400	1	1
Lokiarchaeia_D4993_C5_H3_Bin_468	0	1
Lokiarchaeia_D4993_C5_H3_Bin_497	0	0
Lokiarchaeia_D4993_C5_H3_Bin_515_clean	1	1
Lokiarchaeia_D4993_C5_H3_Bin_613	1	1
Lokiarchaeia_D4993_C5_H3_Bin_769	1	1
Lokiarchaeia_D4993_C5_H4_Bin_11	1	1
Lokiarchaeia_D4993_C5_H4_Bin_46	1	1
Lokiarchaeia_D4993_C5_H4_Bin_5	1	1
Lokiarchaeia_D4993_C5_LG_Bin_247	1	1
Lokiarchaeia_D4993_C5_LG_Bin_279	1	1
Lokiarchaeia_D4993_C5_LG_Bin_298	1	1
Lokiarchaeia_D4993_C5_LG_Bin_330	1	1
Lokiarchaeia_D4993_C5_LG_Bin_447	1	1
Lokiarchaeia_D4993_C5_LG_Bin_498	0	0
Lokiarchaeia_D4993_C5_LG_Bin_529	1	1
Lokiarchaeia_D4993_C5_LG_Bin_604	1	1
Lokiarchaeia_D4993_C5_LG_Bin_609	1	1
Lokiarchaeia_D4993_C5_LG_Bin_705_clean	1	1
Lokiarchaeia_D4994_C39_H1_Bin_122	0	0
Lokiarchaeia_D4994_C39_H1_Bin_188	0	0
Lokiarchaeia_D4994_C39_H1_Bin_261	0	1
Lokiarchaeia_D4994_C39_H1_Bin_319	1	1
Lokiarchaeia_D4994_C39_H1_Bin_33	1	1
Lokiarchaeia_D4994_C39_H1_Bin_335	1	1
Lokiarchaeia_D4994_C39_H1_Bin_37	1	1
Lokiarchaeia_D4994_C39_H1_Bin_371	1	1
Lokiarchaeia_D4994_C39_H1_Bin_674	1	1
Lokiarchaeia_D4994_C39_H1_Bin_733	1	1
Lokiarchaeia_D4994_C39_H1_Bin_797	1	1
Lokiarchaeia_D4994_C39_H2_Bin_21	1	1
Lokiarchaeia_D4998_C1112_H1_Bin_177	1	1
Lokiarchaeia_D4998_C1112_H1_Bin_245	1	1
Lokiarchaeia_D4998_C1112_H1_Bin_443	1	1
Lokiarchaeia_D4998_C1112_H2_Bin_131_clean	0	0
Lokiarchaeia_D4998_C1112_H2_Bin_190_clean	1	1
Lokiarchaeia_D4998_C1112_H2_Bin_413	1	1
Lokiarchaeia_D4998_C1112_H2_Bin_445	1	1
Lokiarchaeia_D4998_C1112_H2_Bin_450	1	1
Lokiarchaeia_D4998_C2223_H1_Bin_197_clean	0	0
Lokiarchaeia_D4998_C2223_H1_Bin_209	0	1
Lokiarchaeia_D4998_C2223_H2_Bin_129_clean	0	0
Lokiarchaeia_D4998_C2223_H2_Bin_384	0	1
Lokiarchaeia_E29_bin63	1	1
Lokiarchaeia_E44_bin85	1	1
Lokiarchaeia_GCA_001940655_1_ASM194065v1	0	1
Lokiarchaeia_GCA_003662865_1_ASM366286v1	0	1
Lokiarchaeia_GCA_004524365_1_ASM452436v1	1	1
Lokiarchaeia_GCA_004524385_1_ASM452438v1	1	1
Lokiarchaeia_GCA_004524425_1_ASM452442v1	1	1
Lokiarchaeia_GCA_004524515_1_ASM452451v1	1	1
Lokiarchaeia_GCA_004524535_1_ASM452453v1	1	1
Lokiarchaeia_GCA_004524545_1_ASM452454v1	0	1
Lokiarchaeia_GCA_004524725_1_ASM452472v1	1	1
Lokiarchaeia_GCA_005191415_1_ASM519141v1	1	1
Lokiarchaeia_GCA_005191425_1_ASM519142v1	1	1
Lokiarchaeia_GCA_005222975_1_ASM522297v1	1	1
Lokiarchaeia_GCA_005223125_1_ASM522312v1	1	1
Lokiarchaeia_GCA_007133855_1_ASM713385v1	1	1
Lokiarchaeia_GCA_008000775_1_ASM800077v1	0	0
Lokiarchaeia_GCA_008080735_1_ASM808073v1	1	1
Lokiarchaeia_GCA_008080755_1_ASM808075v1	1	1
Lokiarchaeia_GCA_008080765_1_ASM808076v1	1	1
Lokiarchaeia_GCA_011364925_1_ASM1136492v1	1	1
Lokiarchaeia_GCA_011364975_1_ASM1136497v1	1	1
Lokiarchaeia_GCA_011365055_1_ASM1136505v1	1	1
Lokiarchaeia_GCA_012798355_1_ASM1279835v1	1	1
Lokiarchaeia_GCA_013375355_1_ASM1337535v1	1	1
Lokiarchaeia_GCA_013375405_1_ASM1337540v1	1	1
Lokiarchaeia_GCA_013375455_1_ASM1337545v1	1	1
Lokiarchaeia_GCA_013375475_1_ASM1337547v1	1	1
Lokiarchaeia_GCA_013375485_1_ASM1337548v1	1	1
Lokiarchaeia_GCA_013375495_1_ASM1337549v1	1	1
Lokiarchaeia_GCA_014728645_1_ASM1472864v1	1	1
Lokiarchaeia_GCA_014729055_1_ASM1472905v1	1	1
Lokiarchaeia_GCA_014729315_1_ASM1472931v1	1	1
Lokiarchaeia_GCA_014729935_1_ASM1472993v1	1	1
Lokiarchaeia_GCA_014730125_1_ASM1473012v1	1	1
Lokiarchaeia_GCA_014730165_1_ASM1473016v1	1	1
Lokiarchaeia_GCA_014730295_1_ASM1473029v1	1	1
Lokiarchaeia_GCA_016839315_1_ASM1683931v1	1	1
Lokiarchaeia_GCA_016839385_1_ASM1683938v1	0	1
Lokiarchaeia_GCA_016839425_1_ASM1683942v1	1	1
Lokiarchaeia_GCA_016839555_1_ASM1683955v1	1	1
Lokiarchaeia_GCA_016839585_1_ASM1683958v1	1	1
Lokiarchaeia_GCA_016839635_1_ASM1683963v1	1	1
Lokiarchaeia_GCA_016839655_1_ASM1683965v1	1	1
Lokiarchaeia_GCA_016839705_1_ASM1683970v1	1	1
Lokiarchaeia_GCA_016839745_1_ASM1683974v1	1	1
Lokiarchaeia_GCA_016839765_1_ASM1683976v1	1	1
Lokiarchaeia_GCA_016839845_1_ASM1683984v1	1	1
Lokiarchaeia_GCA_016839865_1_ASM1683986v1	0	1
Lokiarchaeia_GCA_016839905_1_ASM1683990v1	1	1
Lokiarchaeia_GCA_016839915_1_ASM1683991v1	1	1
Lokiarchaeia_GCA_016840085_1_ASM1684008v1	1	1
Lokiarchaeia_GCA_016840125_1_ASM1684012v1	1	1
Lokiarchaeia_GCA_016840165_1_ASM1684016v1	1	1
Lokiarchaeia_GCA_016840345_1_ASM1684034v1	1	1
Lokiarchaeia_GCA_016840545_1_ASM1684054v1	1	1
Lokiarchaeia_GCA_016840655_1_ASM1684065v1	1	1
Lokiarchaeia_GCA_016840695_1_ASM1684069v1	1	1
Lokiarchaeia_GCA_016840745_1_ASM1684074v1	1	1
Lokiarchaeia_GCA_016840985_1_ASM1684098v1	1	1
Lokiarchaeia_GCA_016926735_1_ASM1692673v1	1	1
Lokiarchaeia_GCA_016930515_1_ASM1693051v1	1	1
Lokiarchaeia_GCA_016932935_1_ASM1693293v1	1	1
Lokiarchaeia_GCA_016933055_1_ASM1693305v1	0	0
Lokiarchaeia_GCA_018238145_1_ASM1823814v1	1	1
