user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
U1547B_4H_metabat.110	d__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	37.59	11	0.402925842257	N/A
U1545C_4H_concoct_71	d__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	78.98	11	0.399618518987	N/A
U1546D_4H_concoct_19	d__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	51.11	11	0.389415062147	N/A
U1545C_4H_concoct_6	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__UBA10214;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__UBA10214;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	61.61	11	0.568313807909	N/A
U1547B_4H_concoct_22	d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	78.73	11	0.568546584132	N/A
U1547B_3H_metabat.11	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Halobacterota;c__;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	91.84	11	0.322527794307	N/A
U1547B_4H_metabat.13_sub	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__;s__	Placement	taxonomic novelty determined using RED	N/A	94.15	11	0.731869279685	Genome has more than 13.1% of markers with multiple hits
U1545C_4H_metabat.70	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	66.26	11	0.765709138972	N/A
U1545C_4H_metabat.113_sub	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002254885.1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__EX4572-165;s__EX4572-165 sp002254885	73.88	0.2	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__;s__	Placement	taxonomic novelty determined using RED	N/A	70.63	11	0.746852661452	N/A
U1547B_3H_metabat.123	d__Archaea;p__Thermoplasmatota;c__E2;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoplasmatota;c__E2;o__;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	96.86	11	0.491745676658	N/A
U1547B_4H_concoct_74	d__Archaea;p__Thermoplasmatota;c__E2;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoplasmatota;c__E2;o__;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	96.49	11	0.49144148292	N/A
U1545C_4H_concoct_13	d__Archaea;p__Thermoplasmatota;c__E2;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoplasmatota;c__E2;o__;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	59.78	11	0.479418670384	N/A
U1547B_3H_metabat.25	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__	N/A	N/A	N/A	N/A	N/A	GCA_001515185.1	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__DG-33 sp001515185	91.45	0.62	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	71.41	11	0.939442306573	N/A
U1546D_16H_concoct_17	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__	N/A	N/A	N/A	N/A	N/A	GCA_001515185.1	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__DG-33 sp001515185	91.16	0.72	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	89.72	11	0.939030313127	N/A
U1545C_14H_concoct_16	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__	N/A	N/A	N/A	N/A	N/A	GCA_001515185.1	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__DG-33 sp001515185	91.02	0.77	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	95.71	11	0.937848008332	N/A
U1547B_4H_concoct_26_sub	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__	N/A	N/A	N/A	N/A	N/A	GCA_001515185.1	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__DG-33 sp001515185	90.91	0.65	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	87.47	11	0.935739682397	N/A
U1545C_4H_concoct_144_sub	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__	N/A	N/A	N/A	N/A	N/A	GCA_001515185.1	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__DG-33 sp001515185	90.72	0.72	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	91.61	11	0.924410671538	Genome has more than 25.4% of markers with multiple hits
U1546D_4H_metabat.5	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__	N/A	N/A	N/A	N/A	N/A	GCA_001515185.1	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__DG-33 sp001515185	80.81	0.42	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	77.89	11	0.88827703998	Genome has more than 11.5% of markers with multiple hits
U1545C_4H_metabat.116	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__	N/A	N/A	N/A	N/A	N/A	GCA_001515185.1	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__DG-33 sp001515185	82.21	0.39	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	74.08	11	0.88026471059	Genome has more than 13.9% of markers with multiple hits
U1547B_4H_concoct_81_sub	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__	N/A	N/A	N/A	N/A	N/A	GCA_001515185.1	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__DG-33 sp001515185	82.38	0.56	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	80.87	11	0.876638303118	Genome has more than 13.1% of markers with multiple hits
U1545C_14H_metabat.11	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__	N/A	N/A	N/A	N/A	N/A	GCA_001515185.1	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__DG-33 sp001515185	79.29	0.48	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	60.54	11	0.870921948351	N/A
U1547B_4H_metabat.11	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__	N/A	N/A	N/A	N/A	N/A	GCA_001515185.1	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__DG-33 sp001515185	79.89	0.55	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	92.49	11	0.869834715491	N/A
U1546D_4H_concoct_105_sub	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__	N/A	N/A	N/A	N/A	N/A	GCA_001515185.1	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__DG-33 sp001515185	79.99	0.45	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	78.67	11	0.868183683946	Genome has more than 19.7% of markers with multiple hits
U1545C_14H_metabat.10	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001515185.1	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__DG-33 sp001515185	76.29	0.13	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	88.49	11	0.798811093151	N/A
U1545C_4H_metabat.10	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;;c__;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	80.85	11	0.573953621209	N/A
U1547B_4H_concoct_114	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;;c__;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	91.49	11	0.282360783287	N/A
U1546D_16H_concoct_31	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__JdFR-07;s__	N/A	N/A	N/A	N/A	N/A	GCA_002010975.1	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__JdFR-07;s__JdFR-07 sp002010975	74.61	0.09	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__	Placement	taxonomic novelty determined using RED	N/A	78.01	11	0.818951751925	Genome has more than 19.7% of markers with multiple hits
U1546D_4H_metabat.90	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__JdFR-07;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__	Placement	taxonomic novelty determined using RED	N/A	56.34	11	0.816004747904	N/A
U1545C_4H_concoct_58	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002779555.1	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__20-14-0-80-47-9;s__20-14-0-80-47-9 sp002779555	74.66	0.1	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__	Placement	taxonomic novelty determined using RED	N/A	83.24	11	0.810405263051	Genome has more than 27.0% of markers with multiple hits
U1545C_14H_metabat.1	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002779555.1	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__20-14-0-80-47-9;s__20-14-0-80-47-9 sp002779555	74.75	0.17	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__	Placement	taxonomic novelty determined using RED	N/A	88.58	11	0.807736590665	N/A
U1547B_3H_metabat.165	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	92.33	11	0.719745176768	N/A
U1545C_4H_concoct_176	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__BA1;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__BA1;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	67.35	11	0.895321708243	N/A
unbinned	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	91.76	11	0.474152046637	Genome has more than 94.3% of markers with multiple hits;Genome domain questionable ( 0.0% Bacterial, 5.7% Archaeal)
U1545C_4H_concoct_169_sub	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__RBG-16-57-9;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__;s__	Placement	taxonomic novelty determined using RED	N/A	86.57	11	0.881084809794	N/A
U1547B_3H_concoct_114_sub	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__RBG-16-57-9;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__;s__	Placement	taxonomic novelty determined using RED	N/A	74.12	11	0.875647612904	N/A
U1546D_4H_metabat.82	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__RBG-16-57-9;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__;s__	Placement	taxonomic novelty determined using RED	N/A	47.48	11	0.875096824619	N/A
U1547B_3H_metabat.170	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__GCA-2726865;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__;s__	Placement	taxonomic novelty determined using RED	N/A	55.04	11	0.819438992356	N/A
U1545C_4H_metabat.124	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002726865.1	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__GCA-2726865;s__GCA-2726865 sp002726865	74.37	0.17	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__;s__	Placement	taxonomic novelty determined using RED	N/A	84.99	11	0.810989177444	N/A
U1547B_3H_concoct_61_sub	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002726865.1	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__GCA-2726865;s__GCA-2726865 sp002726865	74.33	0.14	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__;s__	Placement	taxonomic novelty determined using RED	N/A	83.1	11	0.810475129576	Genome has more than 24.6% of markers with multiple hits
U1547B_3H_metabat.147	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__RBG-16-48-13;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	80.95	11	0.531486743848	N/A
U1547B_3H_concoct_68	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	76.23	11	0.607487879593	N/A
U1547B_4H_metabat.124_sub	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	91.26	11	0.588917445269	Genome has more than 16.4% of markers with multiple hits
U1546D_4H_concoct_72_sub	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__UBA460;s__	N/A	N/A	N/A	N/A	N/A	GCA_001940755.1	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__UBA460;s__UBA460 sp001940755	94.66	0.62	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__UBA460;s__	Placement	taxonomic classification fully defined by topology	GCA_002505645.1, s__UBA460 sp002505645, 95.0, 81.6, 0.66	66.22	11	0.974930487	N/A
U1546D_4H_metabat.22	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__UBA460;s__	N/A	N/A	N/A	N/A	N/A	GCA_002505645.1	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__UBA460;s__UBA460 sp002505645	91.41	0.75	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__UBA460;s__	Placement	taxonomic classification fully defined by topology	GCA_001940755.1, s__UBA460 sp001940755, 95.0, 80.63, 0.51	79.35	11	0.979701226005	N/A
