Genomes	arCOG Taxonomy	Public/Private	Completeness	Contamination	MAG Size (Mb)	Predicted MAG Size
GCA_014729055_1_ASM1472905v1	Lokiarchaeales	Public	75.08	3.81	5.332287	6.661
GCA_014729315_1_ASM1472931v1	Lokiarchaeales	Public	76.64	3.74	6.561119	8.094
GCA_014729935_1_ASM1472993v1	Lokiarchaeales	Public	88.21	2.8	4.212914	4.71
GCA_014730125_1_ASM1473012v1	Lokiarchaeales	Public	91.59	3.74	5.212884	5.651
GCA_014730165_1_ASM1473016v1	Lokiarchaeales	Public	92.52	4.67	4.65345	5.002
GCA_014730275_1_ASM1473027v1	Thorarchaeia	Public	94.86	5.14	3.64358	3.831
GCA_014730295_1_ASM1473029v1	Lokiarchaeales	Public	94.39	5.14	6.144841	6.49
GCA_015520535_1_ASM1552053v1	Hodarchaeales	Public	83.06	1.87	4.045174	4.73
GCA_015521395_1_ASM1552139v1	Njordarchaeales	Public	75.86	0.47	1.834267	2.277
GCA_015522385_1_ASM1552238v1	Kariarchaeaceae	Public	88.86	4.21	4.299148	4.778
GCA_015523565_1_ASM1552356v1	Kariarchaeaceae	Public	91.12	2.34	3.571168	3.888
GCA_016292335_1_ASM1629233v1	Sifarchaeia	Public	81.46	1.87	2.016049	2.39
GCA_016294945_1_ASM1629494v1	Sifarchaeia	Public	74.37	1.87	2.643843	3.321
GCA_016294985_1_ASM1629498v1	Sifarchaeia	Public	67.76	0.93	1.810839	2.395
GCA_016550385_1_ASM1655038v1	Hermodarchaeia	Public	86.22	0.47	5.09683	5.799
GCA_016550395_1_ASM1655039v1	Hermodarchaeia	Public	78.04	0	2.656945	3.24
GCA_016550405_1_ASM1655040v1	Hermodarchaeia	Public	77.46	0	2.677422	3.281
GCA_016550415_1_ASM1655041v1	Hermodarchaeia	Public	89.5	1.87	4.216125	4.659
GCA_016550425_1_ASM1655042v1	Hermodarchaeia	Public	92.67	0	3.764229	4.04
GCA_016550485_1_ASM1655048v1	Hermodarchaeia	Public	73.33	0	2.446527	3.099
GCA_016550495_1_ASM1655049v1	Hermodarchaeia	Public	74.69	0	1.860311	2.331
GCA_016550505_1_ASM1655050v1	Hermodarchaeia	Public	76.42	1.94	2.533416	3.131
GCA_016649575_1_ASM1664957v1	Gerdarchaeales	Public	94.39	8.88	3.490353	3.686
GCA_016839245_1_ASM1683924v1	Thorarchaeia	Public	93.93	7.48	3.318532	3.52
GCA_016839265_1_ASM1683926v1	Odinarchaeia	Public	95.95	2.34	1.350507	1.405
GCA_016839275_1_ASM1683927v1	Thorarchaeia	Public	91.59	0.93	2.577824	2.795
GCA_016839295_1_ASM1683929v1	Hodarchaeales	Public	93.93	1.94	3.966622	4.207
GCA_016839315_1_ASM1683931v1	Lokiarchaeales	Public	88.79	3.74	4.365918	4.855
GCA_016839345_1_ASM1683934v1	Thorarchaeia	Public	84.58	0.07	3.332724	3.847
GCA_016839365_1_ASM1683936v1	Hermodarchaeia	Public	91.12	0.93	2.225025	2.423
GCA_016839385_1_ASM1683938v1	Lokiarchaeales	Public	70.49	1.87	3.737438	4.84
GCA_016839405_1_ASM1683940v1	Gerdarchaeales	Public	81.31	5.14	3.017933	3.582
GCA_016839425_1_ASM1683942v1	Lokiarchaeales	Public	73.03	0.47	4.07657	5.176
GCA_016839445_1_ASM1683944v1	Thorarchaeia	Public	87.38	6.69	2.911084	3.278
GCA_016839465_1_ASM1683946v1	Thorarchaeia	Public	85.05	0.93	3.097685	3.561
GCA_016839505_1_ASM1683950v1	Hodarchaeales	Public	75.93	2.8	4.003379	4.967
GCA_016839515_1_ASM1683951v1	Hodarchaeales	Public	93.61	0.93	4.006905	4.263
GCA_016839545_1_ASM1683954v1	Kariarchaeaceae	Public	77.43	0	2.887009	3.539
GCA_016839555_1_ASM1683955v1	Lokiarchaeales	Public	92.52	0.93	3.744205	4.024
GCA_016839585_1_ASM1683958v1	Lokiarchaeales	Public	81.46	0.93	3.453515	4.094
GCA_016839605_1_ASM1683960v1	Thorarchaeia	Public	84.9	1.4	3.077551	3.542
GCA_016839625_1_ASM1683962v1	Hodarchaeales	Public	80.61	0.93	4.832412	5.769
GCA_016839635_1_ASM1683963v1	Lokiarchaeales	Public	76.79	0	4.101703	5.054
GCA_016839655_1_ASM1683965v1	Lokiarchaeales	Public	82.71	1.87	4.172617	4.894
GCA_016839665_1_ASM1683966v1	Hodarchaeales	Public	69.76	0	3.623906	4.72
GCA_016839705_1_ASM1683970v1	Lokiarchaeales	Public	82.4	0.93	3.356501	3.947
GCA_016839745_1_ASM1683974v1	Lokiarchaeales	Public	79.91	0	3.528046	4.237
GCA_016839765_1_ASM1683976v1	Lokiarchaeales	Public	82.4	0.93	3.320821	3.905
GCA_016839785_1_ASM1683978v1	Hodarchaeales	Public	82.42	4.21	4.041893	4.752
GCA_016839805_1_ASM1683980v1	Hermodarchaeia	Public	94.86	0	2.309456	2.428
GCA_016839815_1_ASM1683981v1	Hodarchaeales	Public	87.38	2.8	4.244502	4.78
GCA_016839845_1_ASM1683984v1	Lokiarchaeales	Public	85.2	1.4	5.251404	6.029
GCA_016839865_1_ASM1683986v1	Lokiarchaeales	Public	67.29	0.93	3.626096	4.812
GCA_016839875_1_ASM1683987v1	Heimdallarchaeaceae	Public	88.28	0.93	3.756232	4.196
GCA_016839905_1_ASM1683990v1	Lokiarchaeales	Public	89.1	4.91	4.777635	5.298
GCA_016839915_1_ASM1683991v1	Lokiarchaeales	Public	89.25	0.93	3.647657	4.04
GCA_016839945_1_ASM1683994v1	Heimdallarchaeaceae	Public	88.4	0.47	3.003036	3.351
GCA_016839955_1_ASM1683995v1	Hodarchaeales	Public	78.04	1.87	5.162862	6.297
GCA_016839985_1_ASM1683998v1	Heimdallarchaeaceae	Public	76.64	0.47	2.516512	3.104
GCA_016839995_1_ASM1683999v1	Hermodarchaeia	Public	83.47	0	1.662189	1.937
GCA_016840025_1_ASM1684002v1	Hodarchaeales	Public	85.91	1.87	6.509507	7.427
GCA_016840035_1_ASM1684003v1	Hodarchaeales	Public	88.01	0.93	4.302992	4.819
GCA_016840065_1_ASM1684006v1	Hermodarchaeia	Public	88.32	0	2.588242	2.891
GCA_016840085_1_ASM1684008v1	Lokiarchaeales	Public	86.6	2.8	4.684387	5.312
GCA_016840095_1_ASM1684009v1	Heimdallarchaeaceae	Public	92.52	1.4	3.444408	3.702
GCA_016840125_1_ASM1684012v1	Helarchaeales	Public	92.99	8.26	7.528376	8.056
GCA_016840135_1_ASM1684013v1	Hermodarchaeia	Public	82.24	0	1.816882	2.14
GCA_016840165_1_ASM1684016v1	Lokiarchaeales	Public	87.85	0.93	3.607813	4.046
GCA_016840185_1_ASM1684018v1	Hermodarchaeia	Public	87.85	4.44	2.543514	2.853
GCA_016840245_1_ASM1684024v1	Thorarchaeia	Public	80.27	0	4.100966	4.91
GCA_016840265_1_ASM1684026v1	Hodarchaeales	Public	71.38	9.09	4.171669	5.366
GCA_016840285_1_ASM1684028v1	Hodarchaeales	Public	90.19	1.25	4.660121	5.117
GCA_016840305_1_ASM1684030v1	Hodarchaeales	Public	81.78	0.93	4.9015	5.795
GCA_016840315_1_ASM1684031v1	Sifarchaeia	Public	75.78	0	1.702742	2.115
GCA_016840345_1_ASM1684034v1	Lokiarchaeales	Public	55.66	2.95	1.606788	2.319
GCA_016840365_1_ASM1684036v1	Thorarchaeia	Public	73.87	5.14	3.228463	4.072
GCA_016840385_1_ASM1684038v1	Thorarchaeia	Public	91.98	3.31	3.875063	4.186
GCA_016840405_1_ASM1684040v1	Hermodarchaeia	Public	92.99	1.87	2.706031	2.896
GCA_016840425_1_ASM1684042v1	Wukongarchaeia	Public	92.52	4.05	2.156567	2.318
GCA_016840435_1_ASM1684043v1	Thorarchaeia	Public	66.82	0.47	1.374547	1.831
GCA_016840465_1_ASM1684046v1	Baldrarchaeia	Public	93.93	3.74	2.267786	2.405
GCA_016840485_1_ASM1684048v1	Baldrarchaeia	Public	91.67	7.01	3.207774	3.475
GCA_016840505_1_ASM1684050v1	Wukongarchaeia	Public	71.47	6.78	1.187662	1.527
GCA_016840515_1_ASM1684051v1	Sifarchaeia	Public	95.02	5.61	3.630703	3.812
GCA_016840545_1_ASM1684054v1	Lokiarchaeales	Public	74.45	1.4	2.882073	3.618
GCA_016840565_1_ASM1684056v1	Thorarchaeia	Public	61.21	2.73	1.27378	1.768
GCA_016840585_1_ASM1684058v1	Hermodarchaeia	Public	87.38	4.67	2.719647	3.063
GCA_016840595_1_ASM1684059v1	Hermodarchaeia	Public	59.93	0.93	2.205555	3.089
GCA_016840625_1_ASM1684062v1	Thorarchaeia	Public	86.96	8.55	2.774658	3.136
GCA_016840645_1_ASM1684064v1	Sifarchaeia	Public	82.96	0.93	4.743374	5.552
GCA_016840655_1_ASM1684065v1	Lokiarchaeales	Public	90.65	3.27	4.861696	5.316
GCA_016840685_1_ASM1684068v1	Thorarchaeia	Public	94.39	3.27	3.228751	3.41
GCA_016840695_1_ASM1684069v1	Lokiarchaeales	Public	63.73	0.93	2.683146	3.656
GCA_016840725_1_ASM1684072v1	Wukongarchaeia	Public	85.05	6.54	2.041124	2.346
GCA_016840745_1_ASM1684074v1	Lokiarchaeales	Public	72.59	4.64	3.250384	4.141
GCA_016840765_1_ASM1684076v1	Hermodarchaeia	Public	79.76	5.14	2.313914	2.782
GCA_016840785_1_ASM1684078v1	Thorarchaeia	Public	80.84	0.47	3.113244	3.71
GCA_016840795_1_ASM1684079v1	Thorarchaeia	Public	89.72	3.27	2.164057	2.387
GCA_016840825_1_ASM1684082v1	Thorarchaeia	Public	85.91	0	4.250437	4.849
GCA_016840845_1_ASM1684084v1	Thorarchaeia	Public	72.54	4.52	3.875534	4.94
GCA_016840855_1_ASM1684085v1	Thorarchaeia	Public	85.05	0.93	3.361515	3.864
GCA_016840885_1_ASM1684088v1	Thorarchaeia	Public	71.73	6.31	2.243881	2.878
GCA_016840905_1_ASM1684090v1	Gerdarchaeales	Public	68.15	0	2.305923	3.04
GCA_016840925_1_ASM1684092v1	Thorarchaeia	Public	68.69	0	2.767388	3.634
GCA_016840945_1_ASM1684094v1	Gerdarchaeales	Public	85.98	0.47	4.417709	5.037
GCA_016840965_1_ASM1684096v1	Thorarchaeia	Public	72.9	1.4	3.093005	3.931
GCA_016840985_1_ASM1684098v1	Helarchaeales	Public	79.91	4.19	3.953574	4.748
GCA_016841005_1_ASM1684100v1	Thorarchaeia	Public	68.69	0.93	4.437373	5.827
GCA_016926735_1_ASM1692673v1	Lokiarchaeales	Public	90.65	5.14	3.880929	4.244
GCA_016927615_1_ASM1692761v1	Gerdarchaeales	Public	86.45	7.94	3.792542	4.306
GCA_016930515_1_ASM1693051v1	Lokiarchaeales	Public	85.98	2.34	3.999874	4.561
GCA_016932935_1_ASM1693293v1	Lokiarchaeales	Public	81.13	3.74	5.105683	6.069
GCA_016933055_1_ASM1693305v1	Lokiarchaeales	Public	94.39	4.21	3.760042	3.971
GCA_016933575_1_ASM1693357v1	Thorarchaeia	Public	86.92	4.42	3.466336	3.92
GCA_017654525_1_ASM1765452v1	Thorarchaeia	Public	73.22	3.27	2.466276	3.127
GCA_018238085_1_ASM1823808v1	Gerdarchaeales	Public	66.31	6.54	1.865125	2.493
GCA_018238095_1_ASM1823809v1	Heimdallarchaeaceae	Public	85.98	6.46	2.413604	2.752
GCA_018238125_1_ASM1823812v1	Gerdarchaeales	Public	65.19	5.61	2.774397	3.74
GCA_018238145_1_ASM1823814v1	Lokiarchaeales	Public	79.92	5.68	2.986857	3.587
GCA_018238155_1_ASM1823815v1	Gerdarchaeales	Public	94.39	7.94	4.079995	4.309
GCA_018238185_1_ASM1823818v1	Thorarchaeia	Public	86.92	4.21	2.432964	2.751
GCA_018238205_1_ASM1823820v1	Thorarchaeia	Public	94.86	4.74	3.574248	3.758
GCA_018238215_1_ASM1823821v1	Thorarchaeia	Public	93.93	6.54	3.376067	3.581
GCA_018238245_1_ASM1823824v1	Heimdallarchaeaceae	Public	81.31	5.57	2.789941	3.311
GCA_018238265_1_ASM1823826v1	Thorarchaeia	Public	91.12	9.96	3.0964	3.371
GCA_018238285_1_ASM1823828v1	Thorarchaeia	Public	88.79	4.82	2.834456	3.152
GCA_018238305_1_ASM1823830v1	Lokiarchaeales	Public	91.59	6.23	3.774736	4.092
GCA_018238315_1_ASM1823831v1	Lokiarchaeales	Public	67.68	9.81	3.835781	5.076
GCA_018238345_1_ASM1823834v1	Lokiarchaeales	Public	86.92	3.74	3.51583	3.976
GCA_018238365_1_ASM1823836v1	Thorarchaeia	Public	65.2	0	1.001426	1.35
GCA_018238375_1_ASM1823837v1	Thorarchaeia	Public	92.06	3.27	2.508877	2.708
GCA_018238405_1_ASM1823840v1	Lokiarchaeales	Public	65.73	7.51	3.833532	5.147
GCA_018238425_1_ASM1823842v1	Lokiarchaeales	Public	62.72	5.45	3.414885	4.688
GCA_018238445_1_ASM1823844v1	Thorarchaeia	Public	93.93	4.21	3.03809	3.223
GCA_018238455_1_ASM1823845v1	Lokiarchaeales	Public	61.95	6.54	2.572786	3.552
GCA_018238465_1_ASM1823846v1	Thorarchaeia	Public	66.47	0.93	0.821653	1.097
GCA_018238505_1_ASM1823850v1	Lokiarchaeales	Public	77.46	9.35	3.118692	3.822
GCA_018238525_1_ASM1823852v1	Thorarchaeia	Public	87.31	3.27	2.392741	2.696
GCA_018238545_1_ASM1823854v1	Heimdallarchaeaceae	Public	94.39	4.21	3.628557	3.832
GCA_018238565_1_ASM1823856v1	Lokiarchaeales	Public	69.96	8.88	2.400114	3.121
GCA_018238575_1_ASM1823857v1	Thorarchaeia	Public	82.94	1.71	2.284368	2.674
GCA_018238585_1_ASM1823858v1	Heimdallarchaeaceae	Public	93.46	3.74	3.237414	3.449
GCA_018238625_1_ASM1823862v1	Lokiarchaeales	Public	89.72	3.27	4.290242	4.731
GCA_018238645_1_ASM1823864v1	Heimdallarchaeaceae	Public	88.79	6.07	3.179846	3.536
GCA_018238665_1_ASM1823866v1	Thorarchaeia	Public	79.83	4.21	2.327786	2.797
GCA_018238685_1_ASM1823868v1	Thorarchaeia	Public	82.24	3.12	2.087151	2.458
GCA_018238705_1_ASM1823870v1	Lokiarchaeales	Public	70.48	3.65	3.491955	4.523
GCA_018238725_1_ASM1823872v1	Lokiarchaeales	Public	89.25	5.68	4.111515	4.554
GCA_018238745_1_ASM1823874v1	Lokiarchaeales	Public	91.12	3.27	3.71819	4.048
GCA_018238755_1_ASM1823875v1	Thorarchaeia	Public	78.46	1.87	1.531964	1.862
GCA_018238765_1_ASM1823876v1	Thorarchaeia	Public	71.81	6.54	1.66249	2.131
GCA_018238805_1_ASM1823880v1	Heimdallarchaeaceae	Public	88.79	5.14	2.727477	3.033
GCA_018238825_1_ASM1823882v1	Thorarchaeia	Public	92.06	4.21	2.779452	3
GCA_018238845_1_ASM1823884v1	Lokiarchaeales	Public	64.26	2.8	2.948774	4.003
GCA_018238865_1_ASM1823886v1	Thorarchaeia	Public	69.59	1.4	1.102705	1.438
GCA_018238885_1_ASM1823888v1	Heimdallarchaeaceae	Public	79.76	1.87	2.485218	2.988
GCA_018238895_1_ASM1823889v1	Lokiarchaeales	Public	82.33	9.96	3.596899	4.232
GCA_018238925_1_ASM1823892v1	Thorarchaeia	Public	78.97	3.04	1.504433	1.821
GCA_018238935_1_ASM1823893v1	Thorarchaeia	Public	91.52	9.79	3.169928	3.439
GCA_018238965_1_ASM1823896v1	Lokiarchaeales	Public	81.15	4.52	3.85159	4.578
GCA_018238985_1_ASM1823898v1	Lokiarchaeales	Public	68.87	1.47	2.374469	3.114
GCA_018239005_1_ASM1823900v1	Thorarchaeia	Public	65.04	2.65	1.263707	1.705
GCA_018239015_1_ASM1823901v1	Thorarchaeia	Public	93.46	8.25	3.061509	3.262
GCA_018335335_1_ASM1833533v1	Thorarchaeia	Public	93.93	4.67	2.944246	3.123
GCA_018623815_1_ASM1862381v1	Kariarchaeaceae	Public	81.31	2.18	1.497934	1.778
GCA_019057385_1_ASM1905738v1	Sifarchaeia	Public	94.08	3.74	4.178934	4.426
GCA_019057735_1_ASM1905773v1	Lokiarchaeales	Public	80.37	4.21	3.153508	3.773
GCA_019057745_1_ASM1905774v1	Lokiarchaeales	Public	62.03	0	1.335054	1.842
GCA_019057775_1_ASM1905777v1	Lokiarchaeales	Public	89.25	5.61	6.121161	6.779
GCA_019057795_1_ASM1905779v1	Lokiarchaeales	Public	94.39	4.21	4.954131	5.232
GCA_019057815_1_ASM1905781v1	Heimdallarchaeaceae	Public	95.33	4.21	3.735735	3.91
GCA_019057835_1_ASM1905783v1	Lokiarchaeales	Public	74.45	5.14	4.364632	5.48
GCA_019057855_1_ASM1905785v1	Lokiarchaeales	Public	75.56	3.74	3.490429	4.343
GCA_019057865_1_ASM1905786v1	Lokiarchaeales	Public	89.88	3.27	4.263694	4.695
GCA_019057895_1_ASM1905789v1	Lokiarchaeales	Public	77.88	6.54	3.204566	3.913
GCA_019057915_1_ASM1905791v1	Lokiarchaeales	Public	73.7	2.72	2.573932	3.251
GCA_019057935_1_ASM1905793v1	Lokiarchaeales	Public	57.66	1.87	1.260593	1.794
GCA_019057955_1_ASM1905795v1	Lokiarchaeales	Public	85.51	1.87	3.082648	3.529
GCA_019057975_1_ASM1905797v1	Lokiarchaeales	Public	77.51	5.45	5.360919	6.567
GCA_019057995_1_ASM1905799v1	Lokiarchaeales	Public	88.47	6.54	9.047666	10.091
GCA_019058015_1_ASM1905801v1	Lokiarchaeales	Public	91.74	4.21	3.841276	4.159
GCA_019058035_1_ASM1905803v1	Lokiarchaeales	Public	88.47	5.37	3.907259	4.358
GCA_019058055_1_ASM1905805v1	Lokiarchaeales	Public	87.25	4.28	2.870149	3.236
GCA_019058075_1_ASM1905807v1	Lokiarchaeales	Public	80.92	4.21	3.106804	3.7
GCA_019058095_1_ASM1905809v1	Lokiarchaeales	Public	91.28	4.21	4.187652	4.553
GCA_019058135_1_ASM1905813v1	Lokiarchaeales	Public	85.36	4.21	3.579478	4.104
GCA_019058155_1_ASM1905815v1	Lokiarchaeales	Public	54.37	3.27	1.794876	2.614
GCA_019058165_1_ASM1905816v1	Gerdarchaeales	Public	91.3	6.54	3.357971	3.65
GCA_019058195_1_ASM1905819v1	Gerdarchaeales	Public	94.39	7.94	4.421869	4.67
GCA_019058215_1_ASM1905821v1	Lokiarchaeales	Public	90.81	6.22	4.457983	4.868
GCA_019058235_1_ASM1905823v1	Thorarchaeia	Public	56.64	2.34	1.630328	2.337
GCA_019058245_1_ASM1905824v1	Lokiarchaeales	Public	73.52	1.4	3.086466	3.904
GCA_019058275_1_ASM1905827v1	Gerdarchaeales	Public	95.33	7.01	4.121384	4.314
GCA_019058295_1_ASM1905829v1	Lokiarchaeales	Public	69.52	0.93	3.200869	4.176
GCA_019058315_1_ASM1905831v1	Helarchaeales	Public	95.33	4.74	5.794606	6.065
GCA_019058355_1_ASM1905835v1	Lokiarchaeales	Public	83.18	9.92	6.464686	7.552
GCA_019058365_1_ASM1905836v1	Lokiarchaeales	Public	91.59	2.8	4.739778	5.138
GCA_019058395_1_ASM1905839v1	Lokiarchaeales	Public	86.92	4.21	6.382533	7.217
GCA_019058415_1_ASM1905841v1	Lokiarchaeales	Public	66.82	4.67	4.462873	5.944
GCA_019058425_1_ASM1905842v1	Lokiarchaeales	Public	89.41	5.14	4.643675	5.135
GCA_019058445_1_ASM1905844v1	Lokiarchaeales	Public	85.05	1.87	4.611789	5.301
GCA_019058475_1_ASM1905847v1	Sifarchaeia	Public	52.44	0	1.970959	2.908
GCA_019058495_1_ASM1905849v1	Atabeyarchaeia	Public	95.48	3.74	2.88186	3.012
GCA_019058515_1_ASM1905851v1	Lokiarchaeales	Public	88.79	2.8	5.468192	6.081
GCA_019058535_1_ASM1905853v1	Sifarchaeia	Public	93.15	3.74	3.679462	3.932
GCA_019058555_1_ASM1905855v1	Thorarchaeia	Public	51.04	0	2.168728	3.231
GCA_019058575_1_ASM1905857v1	Atabeyarchaeia	Public	83.64	2.34	2.895412	3.369
GCA_019894655_1_ASM1989465v1	Lokiarchaeales	Public	58.21	1.4	2.432428	3.449
GCA_019894665_1_ASM1989466v1	Thorarchaeia	Public	88.32	4.74	3.044924	3.401
GCA_019894685_1_ASM1989468v1	Lokiarchaeales	Public	69.16	5.37	2.396098	3.135
GCA_019894715_1_ASM1989471v1	Lokiarchaeales	Public	88.79	2.34	3.361411	3.738
GCA_019894735_1_ASM1989473v1	Lokiarchaeales	Public	84.51	3.27	3.188086	3.682
GCA_019894755_1_ASM1989475v1	Lokiarchaeales	Public	65.42	2.4	2.174476	2.926
GCA_019894765_1_ASM1989476v1	Gerdarchaeales	Public	91.59	7.94	3.365319	3.648
GCA_019894795_1_ASM1989479v1	Heimdallarchaeaceae	Public	93.22	3.27	3.067039	3.275
GCA_019894815_1_ASM1989481v1	Lokiarchaeales	Public	75.78	3.02	2.134786	2.652
GCA_019894835_1_ASM1989483v1	Lokiarchaeales	Public	64.64	2.34	2.03702	2.757
GCA_019894855_1_ASM1989485v1	Lokiarchaeales	Public	78.9	2.8	2.535434	3.07
GCA_019894875_1_ASM1989487v1	Lokiarchaeales	Public	83.33	4.21	3.519499	4.106
GCA_019894885_1_ASM1989488v1	Lokiarchaeales	Public	73.14	3.74	3.219989	4.085
GCA_019894955_1_ASM1989495v1	Lokiarchaeales	Public	81.31	2.34	2.765914	3.283
GCA_019894975_1_ASM1989497v1	Lokiarchaeales	Public	88.32	5.14	3.925903	4.384
GCA_020343655_1_ASM2034365v1	Lokiarchaeales	Public	79.91	2.34	2.265924	2.721
GCA_020344955_1_ASM2034495v1	Lokiarchaeales	Public	80.84	2.34	3.343705	3.984
GCA_020348965_1_ASM2034896v1	Hodarchaeales	Public	74.57	1.4	3.155959	3.959
GCA_020348985_1_ASM2034898v1	Thorarchaeia	Public	84.04	3.74	3.157342	3.661
GCA_020351745_1_ASM2035174v1	Hodarchaeales	Public	69.16	0.93	1.389446	1.818
GCA_020353515_1_ASM2035351v1	Hodarchaeales	Public	92.99	3.74	4.943496	5.29
GCA_020355105_1_ASM2035510v1	Thorarchaeia	Public	80.91	4.21	2.579137	3.071
GCA_021158895_1_ASM2115889v1	Baldrarchaeia	Public	85.67	3.74	1.248337	1.427
GCA_021160805_1_ASM2116080v1	Asgardarchaeia	Public	52.19	0	0.632287	0.935
GCA_021161985_1_ASM2116198v1	Asgardarchaeia	Public	75.23	7.44	2.385259	2.976
GCA_021162905_1_ASM2116290v1	Asgardarchaeia	Public	81.31	5.14	2.519206	2.99
GCA_021163045_1_ASM2116304v1	Njordarchaeales	Public	78.66	2.8	1.51029	1.833
GCA_021498085_1_ASM2149808v1	Gerdarchaeales	Public	94.86	6.07	3.184684	3.348
GCA_021498095_1_ASM2149809v1	Lokiarchaeales	Public	93.93	3.27	4.361485	4.626
GCA_021498125_1_ASM2149812v1	Thorarchaeia	Public	95.33	3.74	3.114748	3.26
GCA_021513695_1_ASM2151369v1	Heimdallarchaeaceae	Public	93.46	2.65	3.081793	3.283
GCA_021513715_1_ASM2151371v1	Heimdallarchaeaceae	Public	95.33	2.34	3.326783	3.482
GCA_022574115_1_ASM2257411v1	Kariarchaeaceae	Public	71.3	0.47	3.595926	4.628
GCA_022866525_1_ASM2286652v1	Lokiarchaeales	Public	81.15	7.48	4.576935	5.44
GCA_023127985_1_ASM2312798v1	Lokiarchaeales	Public	62.45	1.4	2.104066	2.894
GCA_023128215_1_ASM2312821v1	Heimdallarchaeaceae	Public	70.5	2.8	2.060038	2.668
GCA_023128465_1_ASM2312846v1	Lokiarchaeales	Public	62.02	8.33	2.55773	3.529
GCA_023128565_1_ASM2312856v1	Lokiarchaeales	Public	70.93	0.93	2.029813	2.62
GCA_023128605_1_ASM2312860v1	Thorarchaeia	Public	60.77	2.01	1.330519	1.852
GCA_023128635_1_ASM2312863v1	Gerdarchaeales	Public	75.77	3.74	2.182616	2.711
GCA_023129395_1_ASM2312939v1	Lokiarchaeales	Public	68.67	5.14	1.803349	2.368
GCA_023129495_1_ASM2312949v1	Lokiarchaeales	Public	62.04	0.93	1.960176	2.704
GCA_023131185_1_ASM2313118v1	Thorarchaeia	Public	66.33	5.84	1.586054	2.12
GCA_023132455_1_ASM2313245v1	Thorarchaeia	Public	78.59	3.81	2.540274	3.084
GCA_023132955_1_ASM2313295v1	Heimdallarchaeaceae	Public	92.52	4.21	3.580978	3.849
GCA_023133715_1_ASM2313371v1	Lokiarchaeales	Public	70.81	0.93	1.954385	2.525
GCA_023134215_1_ASM2313421v1	Thorarchaeia	Public	62.22	0	0.635021	0.875
GCA_023134625_1_ASM2313462v1	Hodarchaeales	Public	69.47	2.8	2.066449	2.697
GCA_023134855_1_ASM2313485v1	Heimdallarchaeaceae	Public	67.32	4.67	1.699901	2.255
GCA_023135215_1_ASM2313521v1	Heimdallarchaeaceae	Public	92.52	1.4	2.886057	3.102
GCA_023135665_1_ASM2313566v1	Heimdallarchaeaceae	Public	63.01	2.34	1.619692	2.219
GCA_023136245_1_ASM2313624v1	Heimdallarchaeaceae	Public	82.67	2.34	2.266433	2.659
GCA_023136515_1_ASM2313651v1	Heimdallarchaeaceae	Public	60.25	1.87	1.544437	2.158
GCA_023137035_1_ASM2313703v1	Gerdarchaeales	Public	68.62	3.97	2.450605	3.22
GCA_023137225_1_ASM2313722v1	Kariarchaeaceae	Public	73.95	1.87	2.222536	2.802
GCA_023139025_1_ASM2313902v1	Heimdallarchaeaceae	Public	86.45	0.93	2.748435	3.121
GCA_023139085_1_ASM2313908v1	Heimdallarchaeaceae	Public	60.07	0.93	1.219241	1.706
GCA_023139145_1_ASM2313914v1	Gerdarchaeales	Public	64.34	5.1	2.132573	2.893
GCA_023139155_1_ASM2313915v1	Thorarchaeia	Public	72.26	4.21	2.155723	2.754
GCA_023139415_1_ASM2313941v1	Gerdarchaeales	Public	68.82	0.93	2.363132	3.1
GCA_023139815_1_ASM2313981v1	Thorarchaeia	Public	77.17	6.07	2.743844	3.37
GCA_023139955_1_ASM2313995v1	Thorarchaeia	Public	61.69	9.48	2.13092	2.947
GCA_023140315_1_ASM2314031v1	Gerdarchaeales	Public	67.6	1.71	2.045013	2.708
GCA_023140335_1_ASM2314033v1	Heimdallarchaeaceae	Public	68.88	2.34	1.520184	1.993
GCA_023140375_1_ASM2314037v1	Thorarchaeia	Public	70.27	4.05	1.747346	2.267
GCA_023141005_1_ASM2314100v1	Thorarchaeia	Public	65.85	2.34	1.518187	2.037
GCA_023142255_1_ASM2314225v1	Heimdallarchaeaceae	Public	61.34	1.71	1.398514	1.939
GCA_023143835_1_ASM2314383v1	Sifarchaeia	Public	70.88	2.79	1.480367	1.911
GCA_023270155_1_ASM2327015v1	Heimdallarchaeaceae	Public	85.51	0	2.577344	2.951
GCA_024275415_1_ASM2427541v1	Thorarchaeia	Public	94.39	4.98	3.525578	3.723
GCA_024276395_1_ASM2427639v1	Hodarchaeales	Public	84.35	1.4	3.755516	4.343
GCA_024276795_1_ASM2427679v1	Kariarchaeaceae	Public	87.07	2.34	2.721239	3.073
GCA_024276825_1_ASM2427682v1	Thorarchaeia	Public	95.79	3.27	2.935212	3.059
GCA_024278115_1_ASM2427811v1	Kariarchaeaceae	Public	81.16	2.88	3.622665	4.305
GCA_024280435_1_ASM2428043v1	Kariarchaeaceae	Public	93.31	4.28	4.0328	4.303
GCA_024720815_1_ASM2472081v1	Njordarchaeales	Public	81.09	0.47	1.228896	1.461
GCA_024720835_1_ASM2472083v1	Njordarchaeales	Public	61.38	0	1.115089	1.546
GCA_024720855_1_ASM2472085v1	Njordarchaeales	Public	80.46	1.4	1.317496	1.575
GCA_024720875_1_ASM2472087v1	Njordarchaeales	Public	81.94	0.47	1.248635	1.474
